,Position,Track Name,Artist,URL,Filename,Unnamed: 0,Month,Week Number,Type,Date
32,33,Rojo,J Balvin,https://open.spotify.com/track/380HmhwTE2NJgawn1NwkXi,viral-us-weekly-2020-03-26--2020-03-26.csv,,March,13,Viral 50,2020-03-26
33,34,Lucille,Kenny Rogers,https://open.spotify.com/track/15ADURMdkO25JGD5mIcodM,viral-us-weekly-2020-03-26--2020-03-26.csv,,March,13,Viral 50,2020-03-26
34,35,Si Veo a Tu Mamá,Bad Bunny,https://open.spotify.com/track/41wtwzCZkXwpnakmwJ239F,viral-us-weekly-2020-03-26--2020-03-26.csv,,March,13,Viral 50,2020-03-26
35,36,Psycho!,MASN,https://open.spotify.com/track/5LKkteRQ1wWv7XCIEA5F2q,viral-us-weekly-2020-03-26--2020-03-26.csv,,March,13,Viral 50,2020-03-26
36,37,Drop 'Em Out,Wheeler Walker Jr.,https://open.spotify.com/track/0imfNymwLWKyhLBlBZYg53,viral-us-weekly-2020-03-26--2020-03-26.csv,,March,13,Viral 50,2020-03-26
37,38,Trust,Brent Faiyaz,https://open.spotify.com/track/0oufSLnKQDoBFX5mgkDCgR,viral-us-weekly-2020-03-26--2020-03-26.csv,,March,13,Viral 50,2020-03-26
38,39,Love Will Turn You Around,Kenny Rogers,https://open.spotify.com/track/1M2a5TNHqmr2zXZZcB7xTe,viral-us-weekly-2020-03-26--2020-03-26.csv,,March,13,Viral 50,2020-03-26
39,40,Ruby Don't Take Your Love to Town,Kenny Rogers & The First Edition,https://open.spotify.com/track/55JrQ3cHaR9lWGnmAZ0sGy,viral-us-weekly-2020-03-26--2020-03-26.csv,,March,13,Viral 50,2020-03-26
40,41,You Can't Make Old Friends - Duet with Dolly Parton,Kenny Rogers,https://open.spotify.com/track/48Xp0fGOluD1NJmHOeYFg5,viral-us-weekly-2020-03-26--2020-03-26.csv,,March,13,Viral 50,2020-03-26
41,42,Say So,Doja Cat,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ,viral-us-weekly-2020-03-26--2020-03-26.csv,,March,13,Viral 50,2020-03-26
42,43,It's The End Of The World As We Know It (And I Feel Fine),R.E.M.,https://open.spotify.com/track/2oSpQ7QtIKTNFfA08Cy0ku,viral-us-weekly-2020-03-26--2020-03-26.csv,,March,13,Viral 50,2020-03-26
43,44,Dragonball Durag,Thundercat,https://open.spotify.com/track/62PclpoBFLl50PJpiJA5RT,viral-us-weekly-2020-03-26--2020-03-26.csv,,March,13,Viral 50,2020-03-26
44,45,Selfish,Madison Beer,https://open.spotify.com/track/4PV0uE5pZSh44E3NqNNDEH,viral-us-weekly-2020-03-26--2020-03-26.csv,,March,13,Viral 50,2020-03-26
