,Genre,Count
0,Rap/Hip Hop/Trap,388
1,R&B/Soul/Blues,29
2,Pop,380
3,Rock,33
4,Country,63
5,Latin,32
6,Disco,0
7,Indie,20
8,House/EDM,24
9,Alternative/Alt,47
10,Glitchcore,0
11,Brooklyn Drill,27
12,Halloween,0
13,Christmas,1
14,Classical,0
