,Position,Track Name,Artist,URL,Filename,Month,Week Number,Type,Date
0,1,Skechers,DripReport,https://open.spotify.com/track/2alc8VZAzDgdAsL2QMk3hu,viral-us-weekly-2020-03-26--2020-03-26.csv,March,13,Viral 50,2020-03-26
1,2,ily (i love you baby) (feat. Emilee),Surf Mesa,https://open.spotify.com/track/62aP9fBQKYKxi7PDXwcUAS,viral-us-weekly-2020-03-26--2020-03-26.csv,March,13,Viral 50,2020-03-26
2,3,Miss Me,Joseph Black,https://open.spotify.com/track/5y6wOadQ0RZfGZkOey0deO,viral-us-weekly-2020-03-26--2020-03-26.csv,March,13,Viral 50,2020-03-26
3,4,death bed (coffee for your head),Powfu,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx,viral-us-weekly-2020-03-26--2020-03-26.csv,March,13,Viral 50,2020-03-26
4,5,Supalonely,BENEE,https://open.spotify.com/track/4nK5YrxbMGZstTLbvj6Gxw,viral-us-weekly-2020-03-26--2020-03-26.csv,March,13,Viral 50,2020-03-26
5,6,I'm Yer Dad,GRLwood,https://open.spotify.com/track/0GxbglYySl18aZDIaGu1RU,viral-us-weekly-2020-03-26--2020-03-26.csv,March,13,Viral 50,2020-03-26
6,7,Roses - Imanbek Remix,SAINt JHN,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI,viral-us-weekly-2020-03-26--2020-03-26.csv,March,13,Viral 50,2020-03-26
7,8,The Gambler,Kenny Rogers,https://open.spotify.com/track/5KqldkCunQ2rWxruMEtGh0,viral-us-weekly-2020-03-26--2020-03-26.csv,March,13,Viral 50,2020-03-26
8,9,Vibe (If I Back It Up),Cookiee Kawaii,https://open.spotify.com/track/4gOgQTv9RYYFZ1uQNnlk3q,viral-us-weekly-2020-03-26--2020-03-26.csv,March,13,Viral 50,2020-03-26
9,10,Comatose,jxdn,https://open.spotify.com/track/1FIv5SzIBWmCF5Xmt8N6BD,viral-us-weekly-2020-03-26--2020-03-26.csv,March,13,Viral 50,2020-03-26
10,11,After Hours,The Weeknd,https://open.spotify.com/track/2p8IUWQDrpjuFltbdgLOag,viral-us-weekly-2020-03-26--2020-03-26.csv,March,13,Viral 50,2020-03-26
11,12,Moral of the Story,Ashe,https://open.spotify.com/track/2nC3QhMI9reBIOWutbU3Tj,viral-us-weekly-2020-03-26--2020-03-26.csv,March,13,Viral 50,2020-03-26
12,13,Blinding Lights,The Weeknd,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b,viral-us-weekly-2020-03-26--2020-03-26.csv,March,13,Viral 50,2020-03-26
13,14,WHATS POPPIN,Jack Harlow,https://open.spotify.com/track/1jaTQ3nqY3oAAYyCTbIvnM,viral-us-weekly-2020-03-26--2020-03-26.csv,March,13,Viral 50,2020-03-26
14,15,PTSD,G Herbo,https://open.spotify.com/track/3jT2LKH0RSbQ8jIUNFzXm5,viral-us-weekly-2020-03-26--2020-03-26.csv,March,13,Viral 50,2020-03-26
15,16,3 Vets,The Future Kingz,https://open.spotify.com/track/6t3sBdc5SbMlk5AyGvMei2,viral-us-weekly-2020-03-26--2020-03-26.csv,March,13,Viral 50,2020-03-26
16,17,She Gon Go,Trill Ryan,https://open.spotify.com/track/7FknBUKLWwjWszRK1N0jqe,viral-us-weekly-2020-03-26--2020-03-26.csv,March,13,Viral 50,2020-03-26
17,18,FRIENDS,LAUNDRY DAY,https://open.spotify.com/track/3usbnvDFtOhY09cRNar8Zg,viral-us-weekly-2020-03-26--2020-03-26.csv,March,13,Viral 50,2020-03-26
18,19,Sunday Best,Surfaces,https://open.spotify.com/track/1Cv1YLb4q0RzL6pybtaMLo,viral-us-weekly-2020-03-26--2020-03-26.csv,March,13,Viral 50,2020-03-26
