,Position,Track Name,Artist,URL,Filename,Unnamed: 0,Month,Week Number,Type,Date,Artist ID,Genre 1,Genre 2,Genre 3
24,25,Blueberry Faygo,Lil Mosey,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW,viral-us-weekly-2020-03-26--2020-03-26.csv,,March,13,Viral 50,2020-03-26,6R6EfP43F8ZuMcilsE4zs7,dfw rap,trap queen,
25,26,Islands in the Stream,Dolly Parton,https://open.spotify.com/track/6apPqjW8ezpKEicAkkBlvO,viral-us-weekly-2020-03-26--2020-03-26.csv,,March,13,Viral 50,2020-03-26,757aE44tKEUQEqRuT6GnEB,melodic rap,rap,trap
26,27,Lady,Kenny Rogers,https://open.spotify.com/track/5Pj5zrq2nbKcAekH1AxbrO,viral-us-weekly-2020-03-26--2020-03-26.csv,,March,13,Viral 50,2020-03-26,6FheakPfcCNN0NeROtOKeQ,brooklyn drill,new york drill,
27,28,My Truck,BRELAND,https://open.spotify.com/track/1mpD5ioZ9479I6CuKxn3K9,viral-us-weekly-2020-03-26--2020-03-26.csv,,March,13,Viral 50,2020-03-26,1Xyo4u8uXC1ZmMpatF05PJ,canadian contemporary r&b,canadian pop,pop
28,29,Coward Of The County,Kenny Rogers,https://open.spotify.com/track/0JkIre0YxNmKGMU5V7ZiDx,viral-us-weekly-2020-03-26--2020-03-26.csv,,March,13,Viral 50,2020-03-26,5P46zciG5gm8IALoKTLYGb,meme rap,,
29,30,If the World Was Ending - feat. Julia Michaels,JP Saxe,https://open.spotify.com/track/2kJwzbxV2ppxnQoYw4GLBZ,viral-us-weekly-2020-03-26--2020-03-26.csv,,March,13,Viral 50,2020-03-26,4HAfqyKr4Sqtab6ttHWXgE,sad rap,,
30,31,Walked In,Ultradiox,https://open.spotify.com/track/1tRlGMHsf21FDo6pja27YN,viral-us-weekly-2020-03-26--2020-03-26.csv,,March,13,Viral 50,2020-03-26,2wY79sveU1sp5g7SokKOiI,dance pop,pop,post-teen pop
31,32,That Way - Bonus Track,Lil Uzi Vert,https://open.spotify.com/track/2ajzBr7vwHTEBeqDzcsNRC,viral-us-weekly-2020-03-26--2020-03-26.csv,,March,13,Viral 50,2020-03-26,0eDvMgVFoNV3TpwtrVCoTj,brooklyn drill,,
32,33,Rojo,J Balvin,https://open.spotify.com/track/380HmhwTE2NJgawn1NwkXi,viral-us-weekly-2020-03-26--2020-03-26.csv,,March,13,Viral 50,2020-03-26,66W9LaWS0DPdL7Sz8iYGYe,alt z,canadian contemporary r&b,indie cafe pop
33,34,Lucille,Kenny Rogers,https://open.spotify.com/track/15ADURMdkO25JGD5mIcodM,viral-us-weekly-2020-03-26--2020-03-26.csv,,March,13,Viral 50,2020-03-26,2kRfqPViCqYdSGhYSM9R0Q,alt z,dance pop,electropop
