,Position,Track Name,Artist,URL,Filename,Unnamed: 0,Month,Week Number,Type,Date
31,32,Maniac,Conan Gray,https://open.spotify.com/track/7hpJ9tATWb2vztlq99hERP,viral-us-weekly-2020-01-09--2020-01-09.csv,,January,2,Viral 50,2020-01-09
32,33,ORANGE SODA,Baby Keem,https://open.spotify.com/track/5FkoSXiJPKTNyYgALRJFhD,viral-us-weekly-2020-01-09--2020-01-09.csv,,January,2,Viral 50,2020-01-09
33,34,Way Maker - Live,Leeland,https://open.spotify.com/track/40ozK0lCJ0EQzVGWsCNUhk,viral-us-weekly-2020-01-09--2020-01-09.csv,,January,2,Viral 50,2020-01-09
34,35,Don't Start Now,Dua Lipa,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg,viral-us-weekly-2020-01-09--2020-01-09.csv,,January,2,Viral 50,2020-01-09
35,36,Tusa,KAROL G,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY,viral-us-weekly-2020-01-09--2020-01-09.csv,,January,2,Viral 50,2020-01-09
36,37,"I Think I Kinda, You Know - Duet",Olivia Rodrigo,https://open.spotify.com/track/2UVrIJBJVRPN9UgzShCJ5c,viral-us-weekly-2020-01-09--2020-01-09.csv,,January,2,Viral 50,2020-01-09
37,38,Nobody But You (Duet with Gwen Stefani),Blake Shelton,https://open.spotify.com/track/5M8goiFYynmNxhueYW6grR,viral-us-weekly-2020-01-09--2020-01-09.csv,,January,2,Viral 50,2020-01-09
38,39,Sigues Con El,Dímelo Flow,https://open.spotify.com/track/7sQKy5vlPQllr0k9IjYJv3,viral-us-weekly-2020-01-09--2020-01-09.csv,,January,2,Viral 50,2020-01-09
39,40,In The Party,Flo Milli,https://open.spotify.com/track/2JF8KwK1hH7MWxKcFdTlcg,viral-us-weekly-2020-01-09--2020-01-09.csv,,January,2,Viral 50,2020-01-09
40,41,Y U Gotta B Like That,Audrey Mika,https://open.spotify.com/track/45StvejYUdIsyUwqdZ7iJM,viral-us-weekly-2020-01-09--2020-01-09.csv,,January,2,Viral 50,2020-01-09
41,42,Dance Monkey,Tones And I,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku,viral-us-weekly-2020-01-09--2020-01-09.csv,,January,2,Viral 50,2020-01-09
42,43,stupid,Tate McRae,https://open.spotify.com/track/4k3uABcX9iaGlt5pRJhumi,viral-us-weekly-2020-01-09--2020-01-09.csv,,January,2,Viral 50,2020-01-09
43,44,Heart On Ice,Rod Wave,https://open.spotify.com/track/6fWa5CRgy0z30OeGZyMBvD,viral-us-weekly-2020-01-09--2020-01-09.csv,,January,2,Viral 50,2020-01-09
44,45,Ballin' (with Roddy Ricch),Mustard,https://open.spotify.com/track/3QzAOrNlsabgbMwlZt7TAY,viral-us-weekly-2020-01-09--2020-01-09.csv,,January,2,Viral 50,2020-01-09
45,46,Peta (feat. Meek Mill),Roddy Ricch,https://open.spotify.com/track/4bl1HBZliBuYpFZjWgefE4,viral-us-weekly-2020-01-09--2020-01-09.csv,,January,2,Viral 50,2020-01-09
46,47,everything i wanted,Billie Eilish,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ,viral-us-weekly-2020-01-09--2020-01-09.csv,,January,2,Viral 50,2020-01-09
47,48,Holy Water,We The Kingdom,https://open.spotify.com/track/1xI9KSGNJB2eka8FMvovvi,viral-us-weekly-2020-01-09--2020-01-09.csv,,January,2,Viral 50,2020-01-09
48,49,Under The Moon,070 Shake,https://open.spotify.com/track/3RDgzyHD6uMNdCVnQIkD32,viral-us-weekly-2020-01-09--2020-01-09.csv,,January,2,Viral 50,2020-01-09
49,50,Mind Is A Prison,Alec Benjamin,https://open.spotify.com/track/4GGSmoTmc5LClrowB4SmEw,viral-us-weekly-2020-01-09--2020-01-09.csv,,January,2,Viral 50,2020-01-09
0,1,The Box,Roddy Ricch,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I,jan_viral_50.csv,0.0,January,,Viral 50,
1,2,"All I Want - From ""High School Musical: The Musical: The Series""",Olivia Rodrigo,https://open.spotify.com/track/4Yxc55NX3tAXC2mHRAhtcW,jan_viral_50.csv,1.0,January,,Viral 50,
2,3,Blueberry Fergo,Lil Monet,https://open.spotify.com/track/6CrMU5zXlKNGsipNhiu7hN,jan_viral_50.csv,2.0,January,,Viral 50,
