,Position,Track Name,Artist,Streams,URL,Filename,Month,Week Number,Type,Date
30,31,Lithuania (feat. Travis Scott),Big Sean,3293320,https://open.spotify.com/track/4VLTxHOyFX5FRtkpsFm5Pc,regional-us-weekly-2020-09-04--2020-09-11.csv,September,36,Top 200,2020-09-04
31,32,Be Like That - feat. Swae Lee & Khalid,Kane Brown,3291104,https://open.spotify.com/track/5f1joOtoMeyppIcJGZQvqJ,regional-us-weekly-2020-09-04--2020-09-11.csv,September,36,Top 200,2020-09-04
32,33,The Box,Roddy Ricch,3247442,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I,regional-us-weekly-2020-09-04--2020-09-11.csv,September,36,Top 200,2020-09-04
33,34,Lucid Dreams,Juice WRLD,3242540,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR,regional-us-weekly-2020-09-04--2020-09-11.csv,September,36,Top 200,2020-09-04
34,35,Blastoff (feat. Juice Wrld & Trippie Redd),Internet Money,3213874,https://open.spotify.com/track/2rFsFjq0D9JAmc0APpCO6P,regional-us-weekly-2020-09-04--2020-09-11.csv,September,36,Top 200,2020-09-04
35,36,Circles,Post Malone,3184413,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb,regional-us-weekly-2020-09-04--2020-09-11.csv,September,36,Top 200,2020-09-04
36,37,DOLLAZ ON MY HEAD (feat. Young Thug),Gunna,3180899,https://open.spotify.com/track/3nS9a01VvXHQriLqJYwRqG,regional-us-weekly-2020-09-04--2020-09-11.csv,September,36,Top 200,2020-09-04
37,38,Robbery,Juice WRLD,3145950,https://open.spotify.com/track/6Hj9jySrnFppAI0sEMCZpJ,regional-us-weekly-2020-09-04--2020-09-11.csv,September,36,Top 200,2020-09-04
38,39,Party Girl,StaySolidRocky,3139835,https://open.spotify.com/track/3IJYUaN3tx04S4TYyZHKoP,regional-us-weekly-2020-09-04--2020-09-11.csv,September,36,Top 200,2020-09-04
39,40,Martin & Gina,Polo G,3087707,https://open.spotify.com/track/1VLtjHwRWOVJiE5Py7JxoQ,regional-us-weekly-2020-09-04--2020-09-11.csv,September,36,Top 200,2020-09-04
40,41,All Girls Are The Same,Juice WRLD,3064499,https://open.spotify.com/track/4VXIryQMWpIdGgYR4TrjT1,regional-us-weekly-2020-09-04--2020-09-11.csv,September,36,Top 200,2020-09-04
41,42,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,3055698,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY,regional-us-weekly-2020-09-04--2020-09-11.csv,September,36,Top 200,2020-09-04
42,43,Hate The Other Side (with Marshmello & The Kid Laroi),Juice WRLD,2998682,https://open.spotify.com/track/0ada5XsQGLPUVbmTCkAP49,regional-us-weekly-2020-09-04--2020-09-11.csv,September,36,Top 200,2020-09-04
43,44,Conversations,Juice WRLD,2993702,https://open.spotify.com/track/4K06PO78fW4mnBVenxGNob,regional-us-weekly-2020-09-04--2020-09-11.csv,September,36,Top 200,2020-09-04
44,45,We Paid (feat. 42 Dugg),Lil Baby,2955583,https://open.spotify.com/track/6gxKUmycQX7uyMwJcweFjp,regional-us-weekly-2020-09-04--2020-09-11.csv,September,36,Top 200,2020-09-04
