,Position,Track Name,Artist,URL,Filename,Month,Date,Week Number,Type
33,34,Someone Else,Rezz,https://open.spotify.com/track/4hR3hQKELrARHNZJ51D14s,viral-us-weekly-2020-05-07--2020-05-07.csv,May,2020-05-07,19,Viral 50
34,35,Supalonely,BENEE,https://open.spotify.com/track/4nK5YrxbMGZstTLbvj6Gxw,viral-us-weekly-2020-05-07--2020-05-07.csv,May,2020-05-07,19,Viral 50
35,36,Tuff,Jaah SLT,https://open.spotify.com/track/206FddKOYYxN6k2gCKUsFg,viral-us-weekly-2020-05-07--2020-05-07.csv,May,2020-05-07,19,Viral 50
36,37,I'm Yer Dad,GRLwood,https://open.spotify.com/track/0GxbglYySl18aZDIaGu1RU,viral-us-weekly-2020-05-07--2020-05-07.csv,May,2020-05-07,19,Viral 50
37,38,Sunday Best,Surfaces,https://open.spotify.com/track/1Cv1YLb4q0RzL6pybtaMLo,viral-us-weekly-2020-05-07--2020-05-07.csv,May,2020-05-07,19,Viral 50
38,39,Josslyn,Olivia O'Brien,https://open.spotify.com/track/0UhKDHeZw2kHOz9HiRNFBH,viral-us-weekly-2020-05-07--2020-05-07.csv,May,2020-05-07,19,Viral 50
39,40,Surrender,Natalie Taylor,https://open.spotify.com/track/0ecC8p17cDNlxHXkuYqeR6,viral-us-weekly-2020-05-07--2020-05-07.csv,May,2020-05-07,19,Viral 50
40,41,Por Tu Culpa,Porte Diferente,https://open.spotify.com/track/72jvp2nP4zstRmFdhyWgGu,viral-us-weekly-2020-05-07--2020-05-07.csv,May,2020-05-07,19,Viral 50
41,42,Six Feet Apart,Alec Benjamin,https://open.spotify.com/track/22AJMMJMaQ3qtTwlegrKcm,viral-us-weekly-2020-05-07--2020-05-07.csv,May,2020-05-07,19,Viral 50
42,43,Kuntry & Wistern,Koe Wetzel,https://open.spotify.com/track/3GcZ6JWVoyqtTZS3BS47vI,viral-us-weekly-2020-05-07--2020-05-07.csv,May,2020-05-07,19,Viral 50
43,44,Favorito,Camilo,https://open.spotify.com/track/0jT8Nl0shPS8115is0wD2Q,viral-us-weekly-2020-05-07--2020-05-07.csv,May,2020-05-07,19,Viral 50
44,45,Outta There,Moe,https://open.spotify.com/track/6QlKONDgjp9JqcthAtDlKk,viral-us-weekly-2020-05-07--2020-05-07.csv,May,2020-05-07,19,Viral 50
45,46,Boys Ain't Shit (feat. Tate McRae & Audrey Mika),SAYGRACE,https://open.spotify.com/track/7tMEUrMaMzE0YptCGfsXzt,viral-us-weekly-2020-05-07--2020-05-07.csv,May,2020-05-07,19,Viral 50
46,47,Why Is Everything Chrome (Lean Swag Rock Wit It),King Critical,https://open.spotify.com/track/0wQL4dv6dQjuiGdmJIjRCu,viral-us-weekly-2020-05-07--2020-05-07.csv,May,2020-05-07,19,Viral 50
47,48,Left Hand Free,alt-J,https://open.spotify.com/track/4iEOVEULZRvmzYSZY2ViKN,viral-us-weekly-2020-05-07--2020-05-07.csv,May,2020-05-07,19,Viral 50
48,49,Sirius - Chicago Bulls Theme Song,The Alan Parsons Project,https://open.spotify.com/track/4OV0sRTFrZLXaZZ1sS9hLn,viral-us-weekly-2020-05-07--2020-05-07.csv,May,2020-05-07,19,Viral 50
49,50,Comatose,jxdn,https://open.spotify.com/track/1FIv5SzIBWmCF5Xmt8N6BD,viral-us-weekly-2020-05-07--2020-05-07.csv,May,2020-05-07,19,Viral 50
0,1,Sexy,JoeVille,https://open.spotify.com/track/2n0vHNx05rdQaTrs2R6Ty7,viral-us-weekly-2020-05-14--2020-05-14.csv,May,2020-05-14,20,Viral 50
1,2,Судно (Борис Рижий),Molchat Doma,https://open.spotify.com/track/6DONTnamNDOJdO6DzCu71p,viral-us-weekly-2020-05-14--2020-05-14.csv,May,2020-05-14,20,Viral 50
2,3,50//50,Vantage,https://open.spotify.com/track/36lNDeaRf8F8aYaP0zaHpm,viral-us-weekly-2020-05-14--2020-05-14.csv,May,2020-05-14,20,Viral 50
3,4,Deep End Freestyle,Sleepy Hallow,https://open.spotify.com/track/4zTPYAf5scZdp0LnwPPeWK,viral-us-weekly-2020-05-14--2020-05-14.csv,May,2020-05-14,20,Viral 50
4,5,ROCKSTAR (feat. Roddy Ricch),DaBaby,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4,viral-us-weekly-2020-05-14--2020-05-14.csv,May,2020-05-14,20,Viral 50
5,6,ily (i love you baby) (feat. Emilee),Surf Mesa,https://open.spotify.com/track/62aP9fBQKYKxi7PDXwcUAS,viral-us-weekly-2020-05-14--2020-05-14.csv,May,2020-05-14,20,Viral 50
6,7,IDK You Yet,Alexander 23,https://open.spotify.com/track/47EWMOElkkbMp5m9SBkx7d,viral-us-weekly-2020-05-14--2020-05-14.csv,May,2020-05-14,20,Viral 50
7,8,Ruthless (Nice Guys Always Finish Last),MarMar Oso,https://open.spotify.com/track/6HeCk6yewXH7WO4D93eub9,viral-us-weekly-2020-05-14--2020-05-14.csv,May,2020-05-14,20,Viral 50
8,9,Play Date,Melanie Martinez,https://open.spotify.com/track/4DpNNXFMMxQEKl7r0ykkWA,viral-us-weekly-2020-05-14--2020-05-14.csv,May,2020-05-14,20,Viral 50
9,10,Yoga,645AR,https://open.spotify.com/track/2DiybJZJGXyV1UYmngo3eq,viral-us-weekly-2020-05-14--2020-05-14.csv,May,2020-05-14,20,Viral 50
10,11,Rockstar Shit,BLIND.SEE,https://open.spotify.com/track/2MvxhedNhxhj32eVQJnmII,viral-us-weekly-2020-05-14--2020-05-14.csv,May,2020-05-14,20,Viral 50
11,12,LMK,Lil Xxel,https://open.spotify.com/track/4s0hDz7zGgZUav9EvzyLsB,viral-us-weekly-2020-05-14--2020-05-14.csv,May,2020-05-14,20,Viral 50
12,13,I Like Him,Princess Nokia,https://open.spotify.com/track/68UU9oaQtMDnh6PRlW842H,viral-us-weekly-2020-05-14--2020-05-14.csv,May,2020-05-14,20,Viral 50
13,14,LEMONS - Demo,Brye,https://open.spotify.com/track/5ukAQcKEIJuzIbP55xp07x,viral-us-weekly-2020-05-14--2020-05-14.csv,May,2020-05-14,20,Viral 50
