,Position,Track Name,Artist,Streams,URL,Filename,Month,Date,Week Number,Type
30,31,44 BullDog,Pop Smoke,3564802,https://open.spotify.com/track/7sjFIZ1g5QLJLGja3k592K,regional-us-weekly-2020-07-03--2020-07-10.csv,July,2020-07-03,27,Top 200
31,32,Chicago Freestyle (feat. Giveon),Drake,3555520,https://open.spotify.com/track/4wVOKKEHUJxHCFFNUWDn0B,regional-us-weekly-2020-07-03--2020-07-10.csv,July,2020-07-03,27,Top 200
32,33,Wash Us In The Blood,Kanye West,3530365,https://open.spotify.com/track/7mEUjhl6aTztdHCrxoTgBG,regional-us-weekly-2020-07-03--2020-07-10.csv,July,2020-07-03,27,Top 200
33,34,GO (feat. Juice WRLD),The Kid LAROI,3501099,https://open.spotify.com/track/2t7D3y0jvYjR8IP9Bosyew,regional-us-weekly-2020-07-03--2020-07-10.csv,July,2020-07-03,27,Top 200
34,35,Something Special,Pop Smoke,3379826,https://open.spotify.com/track/5kkaSMcf4BFlhRRICCKZb6,regional-us-weekly-2020-07-03--2020-07-10.csv,July,2020-07-03,27,Top 200
35,36,Flex (feat. Juice WRLD),Polo G,3355113,https://open.spotify.com/track/2QqJTIlGKRLJC3onkavYEz,regional-us-weekly-2020-07-03--2020-07-10.csv,July,2020-07-03,27,Top 200
36,37,Creature (feat. Swae Lee),Pop Smoke,3347767,https://open.spotify.com/track/3eV2WT9YhfzkxbufnBF8wK,regional-us-weekly-2020-07-03--2020-07-10.csv,July,2020-07-03,27,Top 200
37,38,Life Is Good (feat. Drake),Future,3328759,https://open.spotify.com/track/1K5KBOgreBi5fkEHvg5ap3,regional-us-weekly-2020-07-03--2020-07-10.csv,July,2020-07-03,27,Top 200
38,39,Lucid Dreams,Juice WRLD,3292828,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR,regional-us-weekly-2020-07-03--2020-07-10.csv,July,2020-07-03,27,Top 200
39,40,DOLLAZ ON MY HEAD (feat. Young Thug),Gunna,3210148,https://open.spotify.com/track/3nS9a01VvXHQriLqJYwRqG,regional-us-weekly-2020-07-03--2020-07-10.csv,July,2020-07-03,27,Top 200
40,41,Righteous,Juice WRLD,3179864,https://open.spotify.com/track/0OyQns5ayNK2OVaES0Vb8t,regional-us-weekly-2020-07-03--2020-07-10.csv,July,2020-07-03,27,Top 200
41,42,Mood Swings (feat. Lil Tjay),Pop Smoke,3149228,https://open.spotify.com/track/5rZlwNFl01HqLWBQGryKSm,regional-us-weekly-2020-07-03--2020-07-10.csv,July,2020-07-03,27,Top 200
42,43,Don't Start Now,Dua Lipa,3144174,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62,regional-us-weekly-2020-07-03--2020-07-10.csv,July,2020-07-03,27,Top 200
43,44,Rags2Riches (feat. ATR Son Son),Rod Wave,3122270,https://open.spotify.com/track/1ENdcyhqdylaLsPVgB83qq,regional-us-weekly-2020-07-03--2020-07-10.csv,July,2020-07-03,27,Top 200
44,45,Go Crazy,Chris Brown,3097685,https://open.spotify.com/track/1IIKrJVP1C9N7iPtG6eOsK,regional-us-weekly-2020-07-03--2020-07-10.csv,July,2020-07-03,27,Top 200
45,46,Yea Yea,Pop Smoke,3086658,https://open.spotify.com/track/0bjgQ24UZGwKikldIyEOgf,regional-us-weekly-2020-07-03--2020-07-10.csv,July,2020-07-03,27,Top 200
46,47,Break My Heart,Dua Lipa,3073354,https://open.spotify.com/track/017PF4Q3l4DBUiWoXk4OWT,regional-us-weekly-2020-07-03--2020-07-10.csv,July,2020-07-03,27,Top 200
47,48,Adore You,Harry Styles,3053456,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7,regional-us-weekly-2020-07-03--2020-07-10.csv,July,2020-07-03,27,Top 200
48,49,Prospect (ft. Lil Baby),iann dior,3036504,https://open.spotify.com/track/4iHSE5R1U8jf84tRn52xRt,regional-us-weekly-2020-07-03--2020-07-10.csv,July,2020-07-03,27,Top 200
49,50,Supalonely,BENEE,2982707,https://open.spotify.com/track/4nK5YrxbMGZstTLbvj6Gxw,regional-us-weekly-2020-07-03--2020-07-10.csv,July,2020-07-03,27,Top 200
50,51,Stuck with U (with Justin Bieber),Ariana Grande,2982704,https://open.spotify.com/track/4HBZA5flZLE435QTztThqH,regional-us-weekly-2020-07-03--2020-07-10.csv,July,2020-07-03,27,Top 200
51,52,Say So,Doja Cat,2927655,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ,regional-us-weekly-2020-07-03--2020-07-10.csv,July,2020-07-03,27,Top 200
52,53,How You Like That,BLACKPINK,2915706,https://open.spotify.com/track/3vAn0qZzdyuHamcrpkfiX3,regional-us-weekly-2020-07-03--2020-07-10.csv,July,2020-07-03,27,Top 200
53,54,21,Polo G,2905478,https://open.spotify.com/track/3JKgcAa7r07ocVWcV8bS0H,regional-us-weekly-2020-07-03--2020-07-10.csv,July,2020-07-03,27,Top 200
54,55,goosebumps,Travis Scott,2876381,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2,regional-us-weekly-2020-07-03--2020-07-10.csv,July,2020-07-03,27,Top 200
55,56,Before You Go,Lewis Capaldi,2846999,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP,regional-us-weekly-2020-07-03--2020-07-10.csv,July,2020-07-03,27,Top 200
56,57,Robbery,Juice WRLD,2846362,https://open.spotify.com/track/6Hj9jySrnFppAI0sEMCZpJ,regional-us-weekly-2020-07-03--2020-07-10.csv,July,2020-07-03,27,Top 200
57,58,What You Know Bout Love,Pop Smoke,2826920,https://open.spotify.com/track/1tkg4EHVoqnhR6iFEXb60y,regional-us-weekly-2020-07-03--2020-07-10.csv,July,2020-07-03,27,Top 200
58,59,All Girls Are The Same,Juice WRLD,2826714,https://open.spotify.com/track/4VXIryQMWpIdGgYR4TrjT1,regional-us-weekly-2020-07-03--2020-07-10.csv,July,2020-07-03,27,Top 200
59,60,Snitching (feat. Quavo & Future),Pop Smoke,2792651,https://open.spotify.com/track/2FhEj9lvEIaJihjFprRrGt,regional-us-weekly-2020-07-03--2020-07-10.csv,July,2020-07-03,27,Top 200
