,Position,Track Name,Artist,Streams,URL,Filename,Month,Date,Week Number,Type
31,32,ROXANNE,Arizona Zervas,4116557,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK,regional-us-weekly-2020-05-01--2020-05-08.csv,May,2020-05-01,18,Top 200
32,33,Say So (feat. Nicki Minaj),Doja Cat,4068118,https://open.spotify.com/track/11VApNQCWLJdzxWrlmwzUa,regional-us-weekly-2020-05-01--2020-05-08.csv,May,2020-05-01,18,Top 200
33,34,HIGHEST IN THE ROOM,Travis Scott,4057375,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW,regional-us-weekly-2020-05-01--2020-05-08.csv,May,2020-05-01,18,Top 200
34,35,Falling,Trevor Daniel,4051087,https://open.spotify.com/track/2rRJrJEo19S2J82BDsQ3F7,regional-us-weekly-2020-05-01--2020-05-08.csv,May,2020-05-01,18,Top 200
35,36,Supalonely,BENEE,4031275,https://open.spotify.com/track/4nK5YrxbMGZstTLbvj6Gxw,regional-us-weekly-2020-05-01--2020-05-08.csv,May,2020-05-01,18,Top 200
36,37,Adore You,Harry Styles,3970235,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7,regional-us-weekly-2020-05-01--2020-05-08.csv,May,2020-05-01,18,Top 200
37,38,SICKO MODE,Travis Scott,3956372,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h,regional-us-weekly-2020-05-01--2020-05-08.csv,May,2020-05-01,18,Top 200
38,39,After Party,Don Toliver,3938792,https://open.spotify.com/track/527k23H0A4Q0UJN3vGs0Da,regional-us-weekly-2020-05-01--2020-05-08.csv,May,2020-05-01,18,Top 200
39,40,Losses,Drake,3821667,https://open.spotify.com/track/6fLVTVaHWaEfVKfEgbkf4D,regional-us-weekly-2020-05-01--2020-05-08.csv,May,2020-05-01,18,Top 200
40,41,High Fashion (feat. Mustard),Roddy Ricch,3802990,https://open.spotify.com/track/07KXEDMj78x68D884wgVEm,regional-us-weekly-2020-05-01--2020-05-08.csv,May,2020-05-01,18,Top 200
41,42,War,Drake,3795496,https://open.spotify.com/track/1I55Ea0zVoSKs6MqW7DQ3i,regional-us-weekly-2020-05-01--2020-05-08.csv,May,2020-05-01,18,Top 200
42,43,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,3521506,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY,regional-us-weekly-2020-05-01--2020-05-08.csv,May,2020-05-01,18,Top 200
43,44,Ballin' (with Roddy Ricch),Mustard,3453347,https://open.spotify.com/track/3QzAOrNlsabgbMwlZt7TAY,regional-us-weekly-2020-05-01--2020-05-08.csv,May,2020-05-01,18,Top 200
