,Position,Track Name,Artist,URL,Filename,Month,Week Number,Type
5,6,Lets Link,WhoHeem,https://open.spotify.com/track/6fMzgFFGzWCwiHMzDzNpp5,viral-us-weekly-2020-09-24--2020-09-24.csv,September,4,Viral
6,7,"Edge of Great (feat. Madison Reyes, Charlie Gillespie, Owen Patrick Joyner & Jeremy Shada)",Julie and the Phantoms Cast,https://open.spotify.com/track/1e2ofLpE40cjEeMENP7pzv,viral-us-weekly-2020-09-24--2020-09-24.csv,September,4,Viral
7,8,This Side of Paradise,Coyote Theory,https://open.spotify.com/track/3sgf2a905hjZ81tXYytY6i,viral-us-weekly-2020-09-24--2020-09-24.csv,September,4,Viral
8,9,"Lemonade (feat. Gunna, Don Toliver & NAV)",Internet Money,https://open.spotify.com/track/7hxHWCCAIIxFLCzvDgnQHX,viral-us-weekly-2020-09-24--2020-09-24.csv,September,4,Viral
9,10,You Got It,Vedo,https://open.spotify.com/track/4lsHZ92XCFOQfzJFBTluk8,viral-us-weekly-2020-09-24--2020-09-24.csv,September,4,Viral
10,11,September,"Earth, Wind & Fire",https://open.spotify.com/track/4f2GB5ZC7vOUYPAg69N2Xw,viral-us-weekly-2020-09-24--2020-09-24.csv,September,4,Viral
11,12,Upside Down,JVKE,https://open.spotify.com/track/614OkajfRPH8V0ugNQnduP,viral-us-weekly-2020-09-24--2020-09-24.csv,September,4,Viral
12,13,Throat Baby (Go Baby),BRS Kash,https://open.spotify.com/track/31iqpzg1ZXLLgq0L5iIwLe,viral-us-weekly-2020-09-24--2020-09-24.csv,September,4,Viral
13,14,THICK,DJ Chose,https://open.spotify.com/track/0YYNIGKgAk34vZkV2NySie,viral-us-weekly-2020-09-24--2020-09-24.csv,September,4,Viral
14,15,Whole Lotta Choppas,Sada Baby,https://open.spotify.com/track/6hLZzCS4E7AWo3PRBWy6az,viral-us-weekly-2020-09-24--2020-09-24.csv,September,4,Viral
15,16,Mood (feat. iann dior),24kGoldn,https://open.spotify.com/track/3tjFYV6RSFtuktYl3ZtYcq,viral-us-weekly-2020-09-24--2020-09-24.csv,September,4,Viral
16,17,Daisy,Ashnikko,https://open.spotify.com/track/0AUvWawuP0ibk4SQ3sIZjk,viral-us-weekly-2020-09-24--2020-09-24.csv,September,4,Viral
17,18,Michelle,Sir Chloe,https://open.spotify.com/track/3sa1wUB8FAkoH95MGPGBWI,viral-us-weekly-2020-09-24--2020-09-24.csv,September,4,Viral
18,19,Stuck in the Middle,Tai Verdes,https://open.spotify.com/track/2HQPOVBAOU2EBTy1nBGRiW,viral-us-weekly-2020-09-24--2020-09-24.csv,September,4,Viral
19,20,Jerusalema (feat. Nomcebo Zikode),Master KG,https://open.spotify.com/track/2MlOUXmcofMackX3bxfSwi,viral-us-weekly-2020-09-24--2020-09-24.csv,September,4,Viral
20,21,Onna Come Up,Lil Eazzyy,https://open.spotify.com/track/0s8QrhtXW1Av2tuLLerDjN,viral-us-weekly-2020-09-24--2020-09-24.csv,September,4,Viral
21,22,Starting Over,Chris Stapleton,https://open.spotify.com/track/3TNSVsiFngfe68UJpMq1oS,viral-us-weekly-2020-09-24--2020-09-24.csv,September,4,Viral
22,23,WAP (feat. Megan Thee Stallion),Cardi B,https://open.spotify.com/track/4Oun2ylbjFKMPTiaSbbCih,viral-us-weekly-2020-09-24--2020-09-24.csv,September,4,Viral
23,24,GIVE HEAVEN SOME HELL,HARDY,https://open.spotify.com/track/2bVeUlOC5JjTpkQXuUUoYm,viral-us-weekly-2020-09-24--2020-09-24.csv,September,4,Viral
24,25,Dynamite,BTS,https://open.spotify.com/track/0t1kP63rueHleOhQkYSXFY,viral-us-weekly-2020-09-24--2020-09-24.csv,September,4,Viral
25,26,BOYFRIEND,HARDY,https://open.spotify.com/track/5M8ExcJIACOWCEgPfNZNn8,viral-us-weekly-2020-09-24--2020-09-24.csv,September,4,Viral
26,27,24 (feat. Lil Baby),Money Man,https://open.spotify.com/track/0xUvi7wldroBzaZCengPa5,viral-us-weekly-2020-09-24--2020-09-24.csv,September,4,Viral
27,28,Ashes,Stellar,https://open.spotify.com/track/2NeyJbL3ROKCjRkAjs77ya,viral-us-weekly-2020-09-24--2020-09-24.csv,September,4,Viral
28,29,Overwhelmed,Royal & the Serpent,https://open.spotify.com/track/5jjZikDrEd0by1o7V3fO4y,viral-us-weekly-2020-09-24--2020-09-24.csv,September,4,Viral
29,30,Blastoff (feat. Juice Wrld & Trippie Redd),Internet Money,https://open.spotify.com/track/7dH9TPjTWQ60wOJkmYay8a,viral-us-weekly-2020-09-24--2020-09-24.csv,September,4,Viral
30,31,Things A Man Oughta Know,Lainey Wilson,https://open.spotify.com/track/7cwKO3SvjCpTyLiIWfnxpx,viral-us-weekly-2020-09-24--2020-09-24.csv,September,4,Viral
31,32,Heather,Conan Gray,https://open.spotify.com/track/4xqrdfXkTW4T0RauPLv3WA,viral-us-weekly-2020-09-24--2020-09-24.csv,September,4,Viral
32,33,Head & Heart (feat. MNEK),Joel Corry,https://open.spotify.com/track/6cx06DFPPHchuUAcTxznu9,viral-us-weekly-2020-09-24--2020-09-24.csv,September,4,Viral
33,34,"Tap In (feat. Post Malone, DaBaby & Jack Harlow)",Saweetie,https://open.spotify.com/track/5woaU1FNkqCwg6WzWiQPW5,viral-us-weekly-2020-09-24--2020-09-24.csv,September,4,Viral
34,35,Pegao / Me Miro y La Mire (TikTok Hit),Omega,https://open.spotify.com/track/4Pzk85DqWoLqptyA5IlhLk,viral-us-weekly-2020-09-24--2020-09-24.csv,September,4,Viral
35,36,Ice Cream (with Selena Gomez),BLACKPINK,https://open.spotify.com/track/2J4P46vCFm1rPkNkp9pZWX,viral-us-weekly-2020-09-24--2020-09-24.csv,September,4,Viral
36,37,Eyes Blue Like The Atlantic (feat. Subvrbs),Sista Prod,https://open.spotify.com/track/0qUcpOOna3kkrwfqky85e1,viral-us-weekly-2020-09-24--2020-09-24.csv,September,4,Viral
37,38,Nightlight,ILLENIUM,https://open.spotify.com/track/06kxa3al7bUqRRo5nAFduZ,viral-us-weekly-2020-09-24--2020-09-24.csv,September,4,Viral
38,39,Mr Loverman,Ricky Montgomery,https://open.spotify.com/track/0MF5QHFzTUM2dYm6J7Vngt,viral-us-weekly-2020-09-24--2020-09-24.csv,September,4,Viral
39,40,Hawái,Maluma,https://open.spotify.com/track/1yoMvmasuxZfqHEipJhRbp,viral-us-weekly-2020-09-24--2020-09-24.csv,September,4,Viral
40,41,Moonwalking in Calabasas (feat. Blueface) - Remix,DDG,https://open.spotify.com/track/7o4gBbTM6UBLkOYPw9xMCz,viral-us-weekly-2020-09-24--2020-09-24.csv,September,4,Viral
41,42,Don't Need Time - Remix,Hotboii,https://open.spotify.com/track/43LKpvgZhQ7HwFYYKxqDki,viral-us-weekly-2020-09-24--2020-09-24.csv,September,4,Viral
42,43,Funny Thing,Thundercat,https://open.spotify.com/track/1c5CllrZr45UBhWpIqM332,viral-us-weekly-2020-09-24--2020-09-24.csv,September,4,Viral
43,44,冬のはなし,ギヴン,https://open.spotify.com/track/3VrKkcEm7RYXBI9RLv7SL7,viral-us-weekly-2020-09-24--2020-09-24.csv,September,4,Viral
44,45,F2020,Avenue Beat,https://open.spotify.com/track/7opTGnWVJcm1e5mWWOldpg,viral-us-weekly-2020-09-24--2020-09-24.csv,September,4,Viral
45,46,ALL GIRLS ARE THE SAME,RØNIN,https://open.spotify.com/track/4xhWfr0tyA7BGL7eXo8KnV,viral-us-weekly-2020-09-24--2020-09-24.csv,September,4,Viral
46,47,Wrap Me In Plastic - Marcus Layton Radio Edit,CHROMANCE,https://open.spotify.com/track/3n2P3ipLt5mPFVaM0fJHNR,viral-us-weekly-2020-09-24--2020-09-24.csv,September,4,Viral
47,48,People So Stupid,Tom MacDonald,https://open.spotify.com/track/3rjJAqZWPjDhsTkCmc2HcY,viral-us-weekly-2020-09-24--2020-09-24.csv,September,4,Viral
48,49,Mi Cuarto,Jerry Di,https://open.spotify.com/track/6fmQjRuo7XvRFCK2qex5hQ,viral-us-weekly-2020-09-24--2020-09-24.csv,September,4,Viral
49,50,Promises,Maverick City Music,https://open.spotify.com/track/0aZFEiDKLK2B4gzPaGCZVm,viral-us-weekly-2020-09-24--2020-09-24.csv,September,4,Viral
