,Position,Track Name,Artist,URL,Filename,Month,Date,Week Number,Type,Artist ID,Genre 1,Genre 2,Genre 3
24,25,El Envidioso,Los Dos Carnales,https://open.spotify.com/track/3cExeifTyKQSMLLwG70wIo,viral-us-weekly-2020-05-07--2020-05-07.csv,May,2020-05-07,19,Viral 50,25UNJbwGZSQKvz5cPLWlv3,corrido,norteno,nuevo regional mexicano
25,26,War,Drake,https://open.spotify.com/track/1I55Ea0zVoSKs6MqW7DQ3i,viral-us-weekly-2020-05-07--2020-05-07.csv,May,2020-05-07,19,Viral 50,3TVXtAsR1Inumwj472S9r4,canadian hip hop,canadian pop,hip hop
26,27,The Blessing (Live),Elevation Worship,https://open.spotify.com/track/5O306r2a9Nl7rm5ZlaTqka,viral-us-weekly-2020-05-07--2020-05-07.csv,May,2020-05-07,19,Viral 50,3YCKuqpv9nCsIhJ2v8SMix,ccm,christian music,world worship
27,28,Break Things,Kylie Morgan,https://open.spotify.com/track/45hbxz8xCxQfa9vmnV187v,viral-us-weekly-2020-05-07--2020-05-07.csv,May,2020-05-07,19,Viral 50,3g2yaL04Uapb5fxmwsUZgV,contemporary country,country pop,
28,29,Breaking Me,Topic,https://open.spotify.com/track/3H7ihDc1dqLriiWXwsc2po,viral-us-weekly-2020-05-07--2020-05-07.csv,May,2020-05-07,19,Viral 50,0u6GtibW46tFX7koQ6uNJZ,dance pop,edm,german dance
29,30,Graves Into Gardens (Live),Elevation Worship,https://open.spotify.com/track/4wc8FpW9XCUaoxtii3CiCf,viral-us-weekly-2020-05-07--2020-05-07.csv,May,2020-05-07,19,Viral 50,3YCKuqpv9nCsIhJ2v8SMix,ccm,christian music,world worship
30,31,Hung Up On You,Troy Cartwright,https://open.spotify.com/track/7uokjCoYFxSdgcq53GNWhJ,viral-us-weekly-2020-05-07--2020-05-07.csv,May,2020-05-07,19,Viral 50,24I45QsPZf5Gr7aVlVmTfr,country pop,,
31,32,Mariposa,Peach Tree Rascals,https://open.spotify.com/track/4ja2gzrNh9VNigzoXfmbwD,viral-us-weekly-2020-05-07--2020-05-07.csv,May,2020-05-07,19,Viral 50,0imE3buPhAowREqCrr4CYe,alternative r&b,chill r&b,indie r&b
32,33,Still Softish,Josh Richards,https://open.spotify.com/track/2twKCCzVkqTr7MKEbv3tcj,viral-us-weekly-2020-05-07--2020-05-07.csv,May,2020-05-07,19,Viral 50,4NFJfKlf2A6rkLag0MesjU,social media pop,viral rap,
33,34,Someone Else,Rezz,https://open.spotify.com/track/4hR3hQKELrARHNZJ51D14s,viral-us-weekly-2020-05-07--2020-05-07.csv,May,2020-05-07,19,Viral 50,4aKdmOXdUKX07HVd3sGgzw,canadian electronic,dark clubbing,edm
34,35,Supalonely,BENEE,https://open.spotify.com/track/4nK5YrxbMGZstTLbvj6Gxw,viral-us-weekly-2020-05-07--2020-05-07.csv,May,2020-05-07,19,Viral 50,0Cp8WN4V8Tu4QJQwCN5Md4,alt z,nz pop,pop
35,36,Tuff,Jaah SLT,https://open.spotify.com/track/206FddKOYYxN6k2gCKUsFg,viral-us-weekly-2020-05-07--2020-05-07.csv,May,2020-05-07,19,Viral 50,6oUVQSkgFOPuv5g2hRCONc,unspecified,,
