,Position,Track Name,Artist,Streams,URL,Filename
103,104,Life's A Mess (feat. Halsey),Juice WRLD,1998914,https://open.spotify.com/track/5wWAwzGp2OaaoIkwcz6wZs,regional-us-weekly-2020-09-04--2020-09-11.csv
104,105,feel something,Bea Miller,1979150,https://open.spotify.com/track/7JDWhC422Gtk1Bq0mL3OTC,regional-us-weekly-2020-09-04--2020-09-11.csv
105,106,Be Kind (with Halsey),Marshmello,1960534,https://open.spotify.com/track/3Z8FwOEN59mRMxDCtb8N0A,regional-us-weekly-2020-09-04--2020-09-11.csv
106,107,Head & Heart (feat. MNEK),Joel Corry,1957421,https://open.spotify.com/track/6cx06DFPPHchuUAcTxznu9,regional-us-weekly-2020-09-04--2020-09-11.csv
107,108,Intentions (feat. Quavo),Justin Bieber,1951826,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV,regional-us-weekly-2020-09-04--2020-09-11.csv
108,109,Why Would I Stop?,Big Sean,1943607,https://open.spotify.com/track/46hDiH4YvAWXE04GskkIHS,regional-us-weekly-2020-09-04--2020-09-11.csv
109,110,Dance Monkey,Tones And I,1925884,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku,regional-us-weekly-2020-09-04--2020-09-11.csv
110,111,No Guidance (feat. Drake),Chris Brown,1922424,https://open.spotify.com/track/6XHVuErjQ4XNm6nDPVCxVX,regional-us-weekly-2020-09-04--2020-09-11.csv
111,112,SLOW DANCING IN THE DARK,Joji,1921317,https://open.spotify.com/track/0rKtyWc8bvkriBthvHKY8d,regional-us-weekly-2020-09-04--2020-09-11.csv
112,113,Break My Heart,Dua Lipa,1893057,https://open.spotify.com/track/017PF4Q3l4DBUiWoXk4OWT,regional-us-weekly-2020-09-04--2020-09-11.csv
113,114,One Of Them Girls,Lee Brice,1877160,https://open.spotify.com/track/14GwnOeC9qYEKEA6uOZepa,regional-us-weekly-2020-09-04--2020-09-11.csv
114,115,High Fashion (feat. Mustard),Roddy Ricch,1876545,https://open.spotify.com/track/07KXEDMj78x68D884wgVEm,regional-us-weekly-2020-09-04--2020-09-11.csv
115,116,I Hope,Gabby Barrett,1861135,https://open.spotify.com/track/23T0OX7QOiIUFShSzbJ5Uo,regional-us-weekly-2020-09-04--2020-09-11.csv
116,117,Heartless (feat. Morgan Wallen),Diplo,1860926,https://open.spotify.com/track/3FU6urUVsgXa6RBuV2PdRk,regional-us-weekly-2020-09-04--2020-09-11.csv
117,118,BOP,DaBaby,1852086,https://open.spotify.com/track/6Ozh9Ok6h4Oi1wUSLtBseN,regional-us-weekly-2020-09-04--2020-09-11.csv
118,119,Don't Start Now,Dua Lipa,1850194,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62,regional-us-weekly-2020-09-04--2020-09-11.csv
119,120,Godzilla (feat. Juice WRLD),Eminem,1842051,https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ,regional-us-weekly-2020-09-04--2020-09-11.csv
120,121,Die From A Broken Heart,Maddie & Tae,1836666,https://open.spotify.com/track/3DA4SE262k6rdEtlHteNyq,regional-us-weekly-2020-09-04--2020-09-11.csv
121,122,Stuck with U (with Justin Bieber),Ariana Grande,1835212,https://open.spotify.com/track/4HBZA5flZLE435QTztThqH,regional-us-weekly-2020-09-04--2020-09-11.csv
122,123,3 Headed Goat (feat. Lil Baby & Polo G),Lil Durk,1831329,https://open.spotify.com/track/2h4cmbyb6S7e8igDZIITJU,regional-us-weekly-2020-09-04--2020-09-11.csv
123,124,Harder Than My Demons,Big Sean,1826592,https://open.spotify.com/track/23XTYrwfHXY8H1PuQYJbDA,regional-us-weekly-2020-09-04--2020-09-11.csv
124,125,Drip Too Hard (Lil Baby & Gunna),Lil Baby,1816644,https://open.spotify.com/track/78QR3Wp35dqAhFEc2qAGjE,regional-us-weekly-2020-09-04--2020-09-11.csv
125,126,Falling,Harry Styles,1813376,https://open.spotify.com/track/1ZMiCix7XSAbfAJlEZWMCp,regional-us-weekly-2020-09-04--2020-09-11.csv
126,127,Beautiful Crazy,Luke Combs,1806786,https://open.spotify.com/track/2rxQMGVafnNaRaXlRMWPde,regional-us-weekly-2020-09-04--2020-09-11.csv
127,128,Tongue Tied,Grouplove,1797935,https://open.spotify.com/track/0GO8y8jQk1PkHzS31d699N,regional-us-weekly-2020-09-04--2020-09-11.csv
128,129,"Ay, DiOs Mío!",KAROL G,1791737,https://open.spotify.com/track/7x4ASXYEKfQBCewcZhK776,regional-us-weekly-2020-09-04--2020-09-11.csv
129,130,Gifted (feat. Roddy Ricch),Cordae,1788526,https://open.spotify.com/track/0mb3uDw5vfFUcZfJYFOMRu,regional-us-weekly-2020-09-04--2020-09-11.csv
130,131,Say So,Doja Cat,1783019,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ,regional-us-weekly-2020-09-04--2020-09-11.csv
131,132,MIDDLE CHILD,J. Cole,1779501,https://open.spotify.com/track/2JvzF1RMd7lE3KmFlsyZD8,regional-us-weekly-2020-09-04--2020-09-11.csv
132,133,SAD!,XXXTENTACION,1779249,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2,regional-us-weekly-2020-09-04--2020-09-11.csv
133,134,Pussy Talk,City Girls,1771328,https://open.spotify.com/track/5EzL7hGT9g2Tvqsy158Lu9,regional-us-weekly-2020-09-04--2020-09-11.csv
134,135,July,Noah Cyrus,1768986,https://open.spotify.com/track/6J2LdBN97cDWn0MLxYh9HB,regional-us-weekly-2020-09-04--2020-09-11.csv
135,136,Need It,Migos,1765996,https://open.spotify.com/track/6mtjo5kIHKlboGE84lf1FJ,regional-us-weekly-2020-09-04--2020-09-11.csv
136,137,rockstar (feat. 21 Savage),Post Malone,1753162,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt,regional-us-weekly-2020-09-04--2020-09-11.csv
137,138,Star Shopping,Lil Peep,1745317,https://open.spotify.com/track/30bqVoKjX479ab90a8Pafp,regional-us-weekly-2020-09-04--2020-09-11.csv
138,139,everything i wanted,Billie Eilish,1742424,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ,regional-us-weekly-2020-09-04--2020-09-11.csv
139,140,Blood On My Jeans,Juice WRLD,1730236,https://open.spotify.com/track/0fCwrjKfWxF3xQhZrYUw4T,regional-us-weekly-2020-09-04--2020-09-11.csv
140,141,Hello (feat. A Boogie Wit da Hoodie),Pop Smoke,1718864,https://open.spotify.com/track/2r6OAV3WsYtXuXjvJ1lIDi,regional-us-weekly-2020-09-04--2020-09-11.csv
141,142,lovely (with Khalid),Billie Eilish,1717080,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4,regional-us-weekly-2020-09-04--2020-09-11.csv
142,143,20 Min,Lil Uzi Vert,1716338,https://open.spotify.com/track/0uxSUdBrJy9Un0EYoBowng,regional-us-weekly-2020-09-04--2020-09-11.csv
143,144,PTSD,G Herbo,1714056,https://open.spotify.com/track/3jT2LKH0RSbQ8jIUNFzXm5,regional-us-weekly-2020-09-04--2020-09-11.csv
144,145,Narrow Road (feat. Lil Baby),NLE Choppa,1704321,https://open.spotify.com/track/0mCiEhtdRn5YYhefLXcxI7,regional-us-weekly-2020-09-04--2020-09-11.csv
145,146,No Role Modelz,J. Cole,1690211,https://open.spotify.com/track/62vpWI1CHwFy7tMIcSStl8,regional-us-weekly-2020-09-04--2020-09-11.csv
146,147,BLIND (feat. Young Thug),DaBaby,1689949,https://open.spotify.com/track/2T5NBwKRySiCR78vVk08vr,regional-us-weekly-2020-09-04--2020-09-11.csv
147,148,3 Musketeers,NextYoungin,1683022,https://open.spotify.com/track/57Oi4yqY27uJzCyqFWIP5q,regional-us-weekly-2020-09-04--2020-09-11.csv
