,Position,Track Name,Artist,URL,Filename,Month,Date,Week Number,Type
32,33,ATL Freestyle,6LACK,https://open.spotify.com/track/3Isj85ak2yj4EndfKFGs9x,viral-us-weekly-2020-07-02--2020-07-02.csv,July,2020-07-02,27,Viral 50
33,34,So We Won't Forget,Khruangbin,https://open.spotify.com/track/6dw8ETrtlFSrkzw6W8cWxN,viral-us-weekly-2020-07-02--2020-07-02.csv,July,2020-07-02,27,Viral 50
34,35,Single Saturday Night,Cole Swindell,https://open.spotify.com/track/1irAliF0T8sLIOPJp6n7rU,viral-us-weekly-2020-07-02--2020-07-02.csv,July,2020-07-02,27,Viral 50
35,36,Tú,Carin Leon,https://open.spotify.com/track/1nLs8r6K4YN0avBwUmmTnr,viral-us-weekly-2020-07-02--2020-07-02.csv,July,2020-07-02,27,Viral 50
36,37,Tinted Eyes (feat. blackbear & 24kGoldn),DVBBS,https://open.spotify.com/track/68UW3plyDDNg1dkNIZRezJ,viral-us-weekly-2020-07-02--2020-07-02.csv,July,2020-07-02,27,Viral 50
37,38,ily (i love you baby) (feat. Emilee),Surf Mesa,https://open.spotify.com/track/62aP9fBQKYKxi7PDXwcUAS,viral-us-weekly-2020-07-02--2020-07-02.csv,July,2020-07-02,27,Viral 50
38,39,As the World Caves In,Matt Maltese,https://open.spotify.com/track/4JE6agBLHGA5TaF6FlqfBD,viral-us-weekly-2020-07-02--2020-07-02.csv,July,2020-07-02,27,Viral 50
39,40,TKN (feat. Travis Scott),ROSALÍA,https://open.spotify.com/track/4w47S36wQGBhGg073q3nt7,viral-us-weekly-2020-07-02--2020-07-02.csv,July,2020-07-02,27,Viral 50
40,41,Dance with Me (feat. Thomas Rhett & Young Thug),Diplo,https://open.spotify.com/track/6wXgnhpmOPEJ7cUweSyy2B,viral-us-weekly-2020-07-02--2020-07-02.csv,July,2020-07-02,27,Viral 50
41,42,Shhh (Pew Pew),Young Fanatic,https://open.spotify.com/track/0gRHMoKnlm3FHL2YrwfE3w,viral-us-weekly-2020-07-02--2020-07-02.csv,July,2020-07-02,27,Viral 50
42,43,Con Tus Besos,Eslabon Armado,https://open.spotify.com/track/6WYB1odDfMPVMyp1QxFInT,viral-us-weekly-2020-07-02--2020-07-02.csv,July,2020-07-02,27,Viral 50
43,44,Roses - Imanbek Remix,SAINt JHN,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI,viral-us-weekly-2020-07-02--2020-07-02.csv,July,2020-07-02,27,Viral 50
44,45,DOLLAZ ON MY HEAD (feat. Young Thug),Gunna,https://open.spotify.com/track/3nS9a01VvXHQriLqJYwRqG,viral-us-weekly-2020-07-02--2020-07-02.csv,July,2020-07-02,27,Viral 50
45,46,"...And To Those I Love, Thanks For Sticking Around",$uicideboy$,https://open.spotify.com/track/41LhQUkElADQ5YUbpYv2D0,viral-us-weekly-2020-07-02--2020-07-02.csv,July,2020-07-02,27,Viral 50
46,47,Heather,Conan Gray,https://open.spotify.com/track/4xqrdfXkTW4T0RauPLv3WA,viral-us-weekly-2020-07-02--2020-07-02.csv,July,2020-07-02,27,Viral 50
47,48,Watermelon Sugar,Harry Styles,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY,viral-us-weekly-2020-07-02--2020-07-02.csv,July,2020-07-02,27,Viral 50
48,49,death bed (coffee for your head),Powfu,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx,viral-us-weekly-2020-07-02--2020-07-02.csv,July,2020-07-02,27,Viral 50
49,50,Song About You,Sam Grow,https://open.spotify.com/track/5gRsliQqZLc4tv688SE3wB,viral-us-weekly-2020-07-02--2020-07-02.csv,July,2020-07-02,27,Viral 50
0,1,Savage Love (Laxed - Siren Beat),Jawsh 685,https://open.spotify.com/track/1xQ6trAsedVPCdbtDAmk0c,viral-us-weekly-2020-07-09--2020-07-09.csv,July,2020-07-09,28,Viral 50
1,2,Stuck in the Middle,Tai Verdes,https://open.spotify.com/track/2HQPOVBAOU2EBTy1nBGRiW,viral-us-weekly-2020-07-09--2020-07-09.csv,July,2020-07-09,28,Viral 50
2,3,Then Leave (feat. Queendom Come),BeatKing,https://open.spotify.com/track/2Xoc4gqPbBa3QHKpBLJ5l8,viral-us-weekly-2020-07-09--2020-07-09.csv,July,2020-07-09,28,Viral 50
3,4,Stunnin' (feat. Harm Franklin),Curtis Waters,https://open.spotify.com/track/2D0dj3hVkRQJCp63cxCPEx,viral-us-weekly-2020-07-09--2020-07-09.csv,July,2020-07-09,28,Viral 50
4,5,In This Shirt,The Irrepressibles,https://open.spotify.com/track/60mItLdFl6xkYc1sAjlZlf,viral-us-weekly-2020-07-09--2020-07-09.csv,July,2020-07-09,28,Viral 50
5,6,Hood Baby,KBFR,https://open.spotify.com/track/5au5NgWCdev4WeLRB3YEOR,viral-us-weekly-2020-07-09--2020-07-09.csv,July,2020-07-09,28,Viral 50
6,7,Hatchback,Cochise,https://open.spotify.com/track/12hVQgYR254ZziANtiKVWQ,viral-us-weekly-2020-07-09--2020-07-09.csv,July,2020-07-09,28,Viral 50
7,8,I See Red,Everybody Loves an Outlaw,https://open.spotify.com/track/5MAK1nd8R6PWnle1Q1WJvh,viral-us-weekly-2020-07-09--2020-07-09.csv,July,2020-07-09,28,Viral 50
8,9,Volcano Man,Will Ferrell,https://open.spotify.com/track/5j5THOJJaBw3NoQy3zo9Py,viral-us-weekly-2020-07-09--2020-07-09.csv,July,2020-07-09,28,Viral 50
9,10,God Bless The U.S.A.,Lee Greenwood,https://open.spotify.com/track/623lYBOJ7bLwh1bu3yeN5V,viral-us-weekly-2020-07-09--2020-07-09.csv,July,2020-07-09,28,Viral 50
10,11,Banana (feat. Shaggy) - DJ FLe - Minisiren Remix,Conkarah,https://open.spotify.com/track/0dZpw3h6KZhcHec61qwevZ,viral-us-weekly-2020-07-09--2020-07-09.csv,July,2020-07-09,28,Viral 50
11,12,Renee,SALES,https://open.spotify.com/track/5MeUMSRreLHYLhw8ZTyqpk,viral-us-weekly-2020-07-09--2020-07-09.csv,July,2020-07-09,28,Viral 50
12,13,GO (feat. Juice WRLD),The Kid LAROI,https://open.spotify.com/track/2t7D3y0jvYjR8IP9Bosyew,viral-us-weekly-2020-07-09--2020-07-09.csv,July,2020-07-09,28,Viral 50
13,14,Como Llora,Juanfran,https://open.spotify.com/track/52zq2a71SGs3f1vJuv59ui,viral-us-weekly-2020-07-09--2020-07-09.csv,July,2020-07-09,28,Viral 50
14,15,The Man Who Loves You The Most,Zac Brown Band,https://open.spotify.com/track/58DvikiJcEjow3Skg80yxX,viral-us-weekly-2020-07-09--2020-07-09.csv,July,2020-07-09,28,Viral 50
15,16,Make It Rain (feat. Rowdy Rebel),Pop Smoke,https://open.spotify.com/track/71d7LaAgPcNcUopu3OzmP7,viral-us-weekly-2020-07-09--2020-07-09.csv,July,2020-07-09,28,Viral 50
16,17,You'll Be Back,Jonathan Groff,https://open.spotify.com/track/6OG1S805gIrH5nAQbEOPY3,viral-us-weekly-2020-07-09--2020-07-09.csv,July,2020-07-09,28,Viral 50
17,18,America The Beautiful,Ray Charles,https://open.spotify.com/track/04f3ea1BQlVrhhmxS0qMDH,viral-us-weekly-2020-07-09--2020-07-09.csv,July,2020-07-09,28,Viral 50
18,19,The Bigger Picture,Lil Baby,https://open.spotify.com/track/44gRhRi2OhEf7moAUj6MD1,viral-us-weekly-2020-07-09--2020-07-09.csv,July,2020-07-09,28,Viral 50
19,20,Rags2Riches (feat. ATR Son Son),Rod Wave,https://open.spotify.com/track/1ENdcyhqdylaLsPVgB83qq,viral-us-weekly-2020-07-09--2020-07-09.csv,July,2020-07-09,28,Viral 50
