,Genre,Count
0,Rap/Hip Hop/Trap,68
1,R&B/Soul/Blues,20
2,Pop,52
3,Rock,9
4,Country,6
5,Latin,1
6,Disco,1
7,Indie,25
8,House/EDM,8
9,Alternative/Alt,16
10,Glitchcore,0
11,Brooklyn Drill,0
12,Halloween,1
13,Christmas,0
14,Classical,0
