,Genre,Count
0,Rap/Hip Hop/Trap,479
1,R&B/Soul/Blues,46
2,Pop,289
3,Rock,20
4,Country,41
5,Latin,18
6,Disco,0
7,Indie,16
8,House/EDM,41
9,Alternative/Alt,50
10,Glitchcore,0
11,Brooklyn Drill,53
12,Halloween,0
13,Christmas,0
14,Classical,0
