,Genre,Count
0,Rap/Hip Hop/Trap,442
1,R&B/Soul/Blues,46
2,Pop,381
3,Rock,34
4,Country,57
5,Latin,17
6,Disco,1
7,Indie,21
8,House/EDM,43
9,Alternative/Alt,71
10,Glitchcore,0
11,Brooklyn Drill,32
12,Halloween,0
13,Christmas,0
14,Classical,0
