,Genre,Count
0,Rap/Hip Hop/Trap,62
1,R&B/Soul/Blues,18
2,Pop,73
3,Rock,9
4,Country,8
5,Latin,4
6,Disco,0
7,Indie,28
8,House/EDM,10
9,Alternative/Alt,20
10,Glitchcore,7
11,Brooklyn Drill,1
12,Halloween,0
13,Christmas,0
14,Classical,0
