,Genre,Count
0,Rap/Hip Hop/Trap,59
1,R&B/Soul/Blues,19
2,Pop,75
3,Rock,10
4,Country,21
5,Latin,1
6,Disco,0
7,Indie,24
8,House/EDM,17
9,Alternative/Alt,28
10,Glitchcore,0
11,Brooklyn Drill,4
12,Halloween,0
13,Christmas,0
14,Classical,0
