,Unnamed: 0,Unnamed: 0.1,Position,Track Name,Artist,URL,Filename,Month,Week Number,Type,Date,Artist ID,Genre 1,Genre 2,Genre 3
22,22,22,23,Hai Domo,Cao White,https://open.spotify.com/track/5vOwis62qEz4avzkppHHL5,viral-us-weekly-2020-09-03--2020-09-03.csv,September,36,Viral 50,2020-09-03,7Ifh6z0Ibeuqmtf6RnGt2w,glitchcore,unspecified,unspecified
23,23,23,24,Buss It,Erica Banks,https://open.spotify.com/track/6NWdgyVsjp2bJ11PToXCr1,viral-us-weekly-2020-09-03--2020-09-03.csv,September,36,Viral 50,2020-09-03,2SXhbucehn00OBVKhzxDyM,trap queen,viral rap,unspecified
24,24,24,25,Pussy Talk,City Girls,https://open.spotify.com/track/5EzL7hGT9g2Tvqsy158Lu9,viral-us-weekly-2020-09-03--2020-09-03.csv,September,36,Viral 50,2020-09-03,37hAfseJWi0G3Scife12Il,dance pop,pop,pop rap
25,25,25,26,Mood Swings (feat. Lil Tjay),Pop Smoke,https://open.spotify.com/track/5rZlwNFl01HqLWBQGryKSm,viral-us-weekly-2020-09-03--2020-09-03.csv,September,36,Viral 50,2020-09-03,0eDvMgVFoNV3TpwtrVCoTj,brooklyn drill,unspecified,unspecified
26,26,26,27,blind,ROLE MODEL,https://open.spotify.com/track/6d1ffV5RisInvrDxkLgBxe,viral-us-weekly-2020-09-03--2020-09-03.csv,September,36,Viral 50,2020-09-03,1dy5WNgIKQU6ezkpZs4y8z,alt z,alternative r&b,bedroom pop
27,27,27,28,Mr Loverman,Ricky Montgomery,https://open.spotify.com/track/0MF5QHFzTUM2dYm6J7Vngt,viral-us-weekly-2020-09-03--2020-09-03.csv,September,36,Viral 50,2020-09-03,0ZUvK7zGdXLd78mQr3t1Tw,alt z,indie pop,la indie
28,28,28,29,Head & Heart (feat. MNEK),Joel Corry,https://open.spotify.com/track/6cx06DFPPHchuUAcTxznu9,viral-us-weekly-2020-09-03--2020-09-03.csv,September,36,Viral 50,2020-09-03,6DgP9otnZw5z6daOntINxp,dance pop,edm,house
29,29,29,30,Smile (with The Weeknd),Juice WRLD,https://open.spotify.com/track/6wQlQrTY5mVS8EGaFZVwVF,viral-us-weekly-2020-09-03--2020-09-03.csv,September,36,Viral 50,2020-09-03,4MCBfE4596Uoi2O4DtmEMz,chicago rap,melodic rap,unspecified
30,30,30,31,TWIST & TURN (feat. Drake & PARTYNEXTDOOR),Popcaan,https://open.spotify.com/track/24SDeYAeTFda8OUzVI1VR6,viral-us-weekly-2020-09-03--2020-09-03.csv,September,36,Viral 50,2020-09-03,62DmErcU7dqZbJaDqwsqzR,dancehall,reggae fusion,unspecified
31,31,31,32,Things A Man Oughta Know,Lainey Wilson,https://open.spotify.com/track/7cwKO3SvjCpTyLiIWfnxpx,viral-us-weekly-2020-09-03--2020-09-03.csv,September,36,Viral 50,2020-09-03,6tPHARSq45lQ8BSALCfkFC,contemporary country,country pop,unspecified
32,32,32,33,Still Don't Know My Name,Labrinth,https://open.spotify.com/track/6N22FZs2ZhPBYi3b9XPajV,viral-us-weekly-2020-09-03--2020-09-03.csv,September,36,Viral 50,2020-09-03,2feDdbD5araYcm6JhFHHw7,indie poptimism,pop,post-teen pop
33,33,33,34,"Agua (with J Balvin) - Music From ""Sponge On The Run"" Movie",Tainy,https://open.spotify.com/track/1pqnQ41XbfKjaFu6M0eGJp,viral-us-weekly-2020-09-03--2020-09-03.csv,September,36,Viral 50,2020-09-03,0GM7qgcRCORpGnfcN2tCiB,latin,latin hip hop,latin pop
34,34,34,35,Heat Waves,Glass Animals,https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx,viral-us-weekly-2020-09-03--2020-09-03.csv,September,36,Viral 50,2020-09-03,4yvcSjfu4PC0CYQyLy4wSq,gauze pop,indietronica,shiver pop
35,35,35,36,Douha (Mali Mali),Disclosure,https://open.spotify.com/track/33J9lmeViWXN0Le0vWRyjc,viral-us-weekly-2020-09-03--2020-09-03.csv,September,36,Viral 50,2020-09-03,6nS5roXSAGhTGr34W6n7Et,house,pop,uk dance
36,36,36,37,Shoes,Lil Wayne,https://open.spotify.com/track/5yHevmbP3PEex0kxP2cBc5,viral-us-weekly-2020-09-03--2020-09-03.csv,September,36,Viral 50,2020-09-03,55Aa2cqylxrFIXC767Z865,hip hop,new orleans rap,pop rap
37,37,37,38,Mi Cuarto,Jerry Di,https://open.spotify.com/track/6fmQjRuo7XvRFCK2qex5hQ,viral-us-weekly-2020-09-03--2020-09-03.csv,September,36,Viral 50,2020-09-03,7f02bxFbZIOVdSbYRNYvLT,cubaton,pop venezolano,reggaeton
38,38,38,39,Monte Carlo,Remi Wolf,https://open.spotify.com/track/3CXCtE8qJIFtUJJZRKCcXC,viral-us-weekly-2020-09-03--2020-09-03.csv,September,36,Viral 50,2020-09-03,0NB5HROxc8dDBXpkIi1v3d,alternative r&b,indie pop,indie r&b
39,39,39,40,You Got It,Vedo,https://open.spotify.com/track/4lsHZ92XCFOQfzJFBTluk8,viral-us-weekly-2020-09-03--2020-09-03.csv,September,36,Viral 50,2020-09-03,3wVXTWabe3viT0jF7DfjOL,pop r&b,r&b,unspecified
40,40,40,41,Be Like That - feat. Swae Lee & Khalid,Kane Brown,https://open.spotify.com/track/5f1joOtoMeyppIcJGZQvqJ,viral-us-weekly-2020-09-03--2020-09-03.csv,September,36,Viral 50,2020-09-03,3oSJ7TBVCWMDMiYjXNiCKE,contemporary country,country,country road
41,41,41,42,Wildfire,Nate Smith,https://open.spotify.com/track/21HxYsyuuXZNqB1Dme5PQN,viral-us-weekly-2020-09-03--2020-09-03.csv,September,36,Viral 50,2020-09-03,4NYMUsIcUUsBHbV9DICa5x,unspecified,unspecified,unspecified
42,42,42,43,Pain,Nessa Barrett,https://open.spotify.com/track/1vwTCUJxmGlTuClU5YLfJA,viral-us-weekly-2020-09-03--2020-09-03.csv,September,36,Viral 50,2020-09-03,7pwufEBGfggjoI8twqlsmQ,social media pop,unspecified,unspecified
43,43,43,44,Kismet,WHOKILLEDXIX,https://open.spotify.com/track/24hPnL2Yr82INEk0YUWCJr,viral-us-weekly-2020-09-03--2020-09-03.csv,September,36,Viral 50,2020-09-03,0RSogp4qeGu0ZM71JRTay3,glitchcore,unspecified,unspecified
44,44,44,45,Save Me,Jelly Roll,https://open.spotify.com/track/5ShenzydHxkHm8w6vdJxMT,viral-us-weekly-2020-09-03--2020-09-03.csv,September,36,Viral 50,2020-09-03,19k8AgwwTSxeaxkOuCQEJs,country rap,nashville hip hop,tennessee hip hop
45,45,45,46,you broke me first,Tate McRae,https://open.spotify.com/track/45bE4HXI0AwGZXfZtMp8JR,viral-us-weekly-2020-09-03--2020-09-03.csv,September,36,Viral 50,2020-09-03,45dkTj5sMRSjrmBSBeiHym,alt z,dance pop,electropop
46,46,46,47,Muwop (feat. Gucci Mane),Mulatto,https://open.spotify.com/track/231WYcXWUxYSx79tuPtzBk,viral-us-weekly-2020-09-03--2020-09-03.csv,September,36,Viral 50,2020-09-03,3MdXrJWsbVzdn6fe5JYkSQ,pop,pop r&b,r&b
47,47,47,48,Cowpoke,Colter Wall,https://open.spotify.com/track/1FJDhcC36CbA16lMIxgT1F,viral-us-weekly-2020-09-03--2020-09-03.csv,September,36,Viral 50,2020-09-03,3xYXYzm9H3RzyQgBrYwIcx,canadian americana,canadian contemporary country,outlaw country
48,48,48,49,Obnimi (Callmearco Remix),Okean Elzi,https://open.spotify.com/track/1ZbJScG0Dr74y1hvgDneYm,viral-us-weekly-2020-09-03--2020-09-03.csv,September,36,Viral 50,2020-09-03,20V4dlQgbJH5dFBr2edJBC,viral rap,unspecified,unspecified
49,49,49,50,For The Night (feat. Lil Baby & DaBaby),Pop Smoke,https://open.spotify.com/track/0PvFJmanyNQMseIFrU708S,viral-us-weekly-2020-09-03--2020-09-03.csv,September,36,Viral 50,2020-09-03,0eDvMgVFoNV3TpwtrVCoTj,brooklyn drill,unspecified,unspecified
50,50,0,1,Mad at Disney,salem ilese,https://open.spotify.com/track/7aGyRfJWtLqgJaZoG9lJhE,viral-us-weekly-2020-09-10--2020-09-10.csv,September,37,Viral 50,2020-09-10,3QJUFtGBGL05vo0kCJZsmT,alt z,modern indie pop,social media pop
51,51,1,2,Whole Lotta Choppas,Sada Baby,https://open.spotify.com/track/6hLZzCS4E7AWo3PRBWy6az,viral-us-weekly-2020-09-10--2020-09-10.csv,September,37,Viral 50,2020-09-10,2JSwnwAT1BupAQkhqcRCUw,detroit trap,scam rap,trap
52,52,2,3,"Lemonade (feat. Gunna, Don Toliver & NAV)",Internet Money,https://open.spotify.com/track/2DQNYMRjisN3KAPj1bEwOI,viral-us-weekly-2020-09-10--2020-09-10.csv,September,37,Viral 50,2020-09-10,6MPCFvOQv5cIGfw3jODMF0,pop rap,rap,trap
53,53,3,4,Put Your Records On,Ritt Momney,https://open.spotify.com/track/1fah1uAs7HeTYDlNftKr3K,viral-us-weekly-2020-09-10--2020-09-10.csv,September,37,Viral 50,2020-09-10,7MPGCB854Qo4alYMOPkBka,bedroom pop,unspecified,unspecified
54,54,4,5,Sálvame,RBD,https://open.spotify.com/track/3hbTkJ0yFzHbawnKyhvTQj,viral-us-weekly-2020-09-10--2020-09-10.csv,September,37,Viral 50,2020-09-10,7cjh6y0V9SsyCrWSXTzwOs,latin,latin pop,pop
55,55,5,6,Throat Baby (Go Baby),BRS Kash,https://open.spotify.com/track/31iqpzg1ZXLLgq0L5iIwLe,viral-us-weekly-2020-09-10--2020-09-10.csv,September,37,Viral 50,2020-09-10,5jJjvmEwRr8epuGZq4eUUa,unspecified,unspecified,unspecified
56,56,6,7,WAP (feat. Megan Thee Stallion),Cardi B,https://open.spotify.com/track/4Oun2ylbjFKMPTiaSbbCih,viral-us-weekly-2020-09-10--2020-09-10.csv,September,37,Viral 50,2020-09-10,4kYSro6naA4h99UJvo89HB,pop,pop rap,post-teen pop
57,57,7,8,Mood (feat. iann dior),24kGoldn,https://open.spotify.com/track/3tjFYV6RSFtuktYl3ZtYcq,viral-us-weekly-2020-09-10--2020-09-10.csv,September,37,Viral 50,2020-09-10,6fWVd57NKTalqvmjRd2t8Z,cali rap,unspecified,unspecified
58,58,8,9,You Got It,Vedo,https://open.spotify.com/track/4lsHZ92XCFOQfzJFBTluk8,viral-us-weekly-2020-09-10--2020-09-10.csv,September,37,Viral 50,2020-09-10,3wVXTWabe3viT0jF7DfjOL,pop r&b,r&b,unspecified
59,59,9,10,Losing You,WONHO,https://open.spotify.com/track/2Bk8jjFB0FfAFYUIxihOnG,viral-us-weekly-2020-09-10--2020-09-10.csv,September,37,Viral 50,2020-09-10,6pC3vnUgNVITdYMMXefi6D,k-pop,unspecified,unspecified
60,60,10,11,Solo Quédate En Silencio,RBD,https://open.spotify.com/track/2RJ1fg4qf2vgZKifTa4HgA,viral-us-weekly-2020-09-10--2020-09-10.csv,September,37,Viral 50,2020-09-10,7cjh6y0V9SsyCrWSXTzwOs,latin,latin pop,pop
61,61,11,12,Rebelde,RBD,https://open.spotify.com/track/56tOMi4N980gmsdUoyaLb3,viral-us-weekly-2020-09-10--2020-09-10.csv,September,37,Viral 50,2020-09-10,7cjh6y0V9SsyCrWSXTzwOs,latin,latin pop,pop
62,62,12,13,Este Corazón,RBD,https://open.spotify.com/track/0bMVCO35RJiUhAfvFsLjIF,viral-us-weekly-2020-09-10--2020-09-10.csv,September,37,Viral 50,2020-09-10,7cjh6y0V9SsyCrWSXTzwOs,latin,latin pop,pop
63,63,13,14,Stuck in the Middle,Tai Verdes,https://open.spotify.com/track/2HQPOVBAOU2EBTy1nBGRiW,viral-us-weekly-2020-09-10--2020-09-10.csv,September,37,Viral 50,2020-09-10,2kCO8LXN1usaOPL3iEE28I,modern indie pop,unspecified,unspecified
64,64,14,15,Nuestro Amor,RBD,https://open.spotify.com/track/7F7qwp7VZRVwZsNoddRRgX,viral-us-weekly-2020-09-10--2020-09-10.csv,September,37,Viral 50,2020-09-10,7cjh6y0V9SsyCrWSXTzwOs,latin,latin pop,pop
65,65,15,16,Ashes,Stellar,https://open.spotify.com/track/2NeyJbL3ROKCjRkAjs77ya,viral-us-weekly-2020-09-10--2020-09-10.csv,September,37,Viral 50,2020-09-10,5yw4tA8D5uG7tT3NaDvq10,social media pop,unspecified,unspecified
