,Genre,Count
0,Rap/Hip Hop/Trap,540
1,R&B/Soul/Blues,46
2,Pop,356
3,Rock,17
4,Country,55
5,Latin,23
6,Disco,0
7,Indie,17
8,House/EDM,40
9,Alternative/Alt,46
10,Glitchcore,0
11,Brooklyn Drill,9
12,Halloween,0
13,Christmas,0
14,Classical,0
