Position,"Track Name",Artist,URL
1,"Times We Had",Barlito,https://open.spotify.com/track/0taGy8aBzOXCLdPwbPykpz
2,"Think About Things","Daði Freyr",https://open.spotify.com/track/2iRniYXjMHKmwXqA2jYXP7
3,"Fishy on Me","Dr. Sus",https://open.spotify.com/track/1k6GEdfONk9Fs6JgrC8aBN
4,"Party Girl",StaySolidRocky,https://open.spotify.com/track/5RqR4ZCCKJDcBLIn4sih9l
5,Sexy,JoeVille,https://open.spotify.com/track/2n0vHNx05rdQaTrs2R6Ty7
6,#WIPEITDOWN,"BMW KENNY",https://open.spotify.com/track/2kefHjNepGePZG4WxH2Vh4
7,"Laxed – Siren Beat","Jawsh 685",https://open.spotify.com/track/3BJiF37kmX4HCfYSO7qBnQ
8,"Судно (Борис Рижий)","Molchat Doma",https://open.spotify.com/track/6DONTnamNDOJdO6DzCu71p
9,50//50,Vantage,https://open.spotify.com/track/36lNDeaRf8F8aYaP0zaHpm
10,"Figure It Out","Blu DeTiger",https://open.spotify.com/track/5G5qyRHlLmZgy915TBTCkB
11,"Deep End Freestyle","Sleepy Hallow",https://open.spotify.com/track/4zTPYAf5scZdp0LnwPPeWK
12,"Address It","LPB Poody",https://open.spotify.com/track/1FgPyHX7HruKDL4Tx4MeZB
13,"Qué Maldición","Banda MS de Sergio Lizárraga",https://open.spotify.com/track/2RxC2peY3FtrurYmbbmanr
14,"ily (i love you baby) (feat. Emilee)","Surf Mesa",https://open.spotify.com/track/62aP9fBQKYKxi7PDXwcUAS
15,"bloody valentine","Machine Gun Kelly",https://open.spotify.com/track/1bWEngw5tAF7vWByrf5Oy5
16,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
17,"Savage Remix (feat. Beyoncé)","Megan Thee Stallion",https://open.spotify.com/track/5v4GgrXPMghOnBBLmveLac
18,"IDK You Yet","Alexander 23",https://open.spotify.com/track/47EWMOElkkbMp5m9SBkx7d
19,"LEMONS - Demo",Brye,https://open.spotify.com/track/5ukAQcKEIJuzIbP55xp07x
20,"THE SCOTTS","THE SCOTTS",https://open.spotify.com/track/39Yp9wwQiSRIDOvrVg7mbk
21,"Ruthless (Nice Guys Always Finish Last)","MarMar Oso",https://open.spotify.com/track/6HeCk6yewXH7WO4D93eub9
22,"If You’re Too Shy (Let Me Know)","The 1975",https://open.spotify.com/track/1C5utO1I8FoSIn6g1R5DAZ
23,"Six Feet Apart","Luke Combs",https://open.spotify.com/track/5v6gozUHFv9OoNdFYz6p8V
24,"I Like Him","Princess Nokia",https://open.spotify.com/track/68UU9oaQtMDnh6PRlW842H
25,"Roses - Imanbek Remix","SAINt JHN",https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
26,"Con Tus Besos","Eslabon Armado",https://open.spotify.com/track/6WYB1odDfMPVMyp1QxFInT
27,"The 1975","The 1975",https://open.spotify.com/track/0YtmwGMUPaBIEuJs0FNiDm
28,"Waiting For (feat. Jamila Woods)",rum.gold,https://open.spotify.com/track/02nZeTbm2dRHisH6qsUM5E
29,"Play Date","Melanie Martinez",https://open.spotify.com/track/4DpNNXFMMxQEKl7r0ykkWA
30,"It's You (I've Been Looking for)","Lewis Brice",https://open.spotify.com/track/3CetlHFPPW1SF9mQB7fKti
31,"...And To Those I Love, Thanks For Sticking Around",$uicideboy$,https://open.spotify.com/track/41LhQUkElADQ5YUbpYv2D0
32,Mariposa,"Peach Tree Rascals",https://open.spotify.com/track/4ja2gzrNh9VNigzoXfmbwD
33,"Chicago Freestyle (feat. Giveon)",Drake,https://open.spotify.com/track/4wVOKKEHUJxHCFFNUWDn0B
34,"Be Kind (with Halsey)",Marshmello,https://open.spotify.com/track/3Z8FwOEN59mRMxDCtb8N0A
35,Lady,"Brett Young",https://open.spotify.com/track/3ySLzrN7950dpf1ncttONO
36,"After Party","Don Toliver",https://open.spotify.com/track/527k23H0A4Q0UJN3vGs0Da
37,"More Than My Hometown","Morgan Wallen",https://open.spotify.com/track/6FniJZn4agmDtPx1pKZQsa
38,"Say So (feat. Nicki Minaj)","Doja Cat",https://open.spotify.com/track/11VApNQCWLJdzxWrlmwzUa
39,"death bed (coffee for your head)",Powfu,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
40,LMK,"Lil Xxel",https://open.spotify.com/track/4s0hDz7zGgZUav9EvzyLsB
41,"One Of Them Girls","Lee Brice",https://open.spotify.com/track/14GwnOeC9qYEKEA6uOZepa
42,"Time (You and I)",Khruangbin,https://open.spotify.com/track/2QoiyjegLQ3DWKBfFX9ihX
43,"Rockstar Shit",BLIND.SEE,https://open.spotify.com/track/2MvxhedNhxhj32eVQJnmII
44,"Don't Rush (feat. Headie One)","Young T & Bugsey",https://open.spotify.com/track/7LRmDx4pMTQuOBBwRT1MCT
45,"HEART ATTACK (feat. lau.ra)",BRONSON,https://open.spotify.com/track/4esIFtCJ2RUFbJpDGluVG4
46,"Break Things","Kylie Morgan",https://open.spotify.com/track/45hbxz8xCxQfa9vmnV187v
47,Skechers,DripReport,https://open.spotify.com/track/2alc8VZAzDgdAsL2QMk3hu
48,Disingenuous,Flight,https://open.spotify.com/track/77N3t8CNrUQV2f2SLQzs9Q
49,"Sunday Best",Surfaces,https://open.spotify.com/track/1Cv1YLb4q0RzL6pybtaMLo
50,"Breaking Me",Topic,https://open.spotify.com/track/3H7ihDc1dqLriiWXwsc2po
