,Position,Track Name,Artist,Streams,URL,Filename,Month,Date,Week Number,Type,Artist ID,Genre 1,Genre 2,Genre 3
22,23,Circles,Post Malone,4674869,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb,regional-us-weekly-2020-05-01--2020-05-08.csv,May,2020-05-01,18,Top 200,246dkjvS1zLTtiykXe5h60,dfw rap,melodic rap,rap
23,24,Life Is Good (feat. Drake),Future,4672027,https://open.spotify.com/track/5yY9lUy8nbvjM1Uyo1Uqoc,regional-us-weekly-2020-05-01--2020-05-08.csv,May,2020-05-01,18,Top 200,1RyvyyTE3xzB2ZywiAwp0i,atl hip hop,pop rap,rap
24,25,Sunday Best,Surfaces,4637028,https://open.spotify.com/track/1Cv1YLb4q0RzL6pybtaMLo,regional-us-weekly-2020-05-01--2020-05-08.csv,May,2020-05-01,18,Top 200,4ETSs924pXMzjIeD6E9b4u,bedroom soul,pop,
25,26,Landed,Drake,4593211,https://open.spotify.com/track/3KixNgUEaDtrKJVzdqjU5q,regional-us-weekly-2020-05-01--2020-05-08.csv,May,2020-05-01,18,Top 200,3TVXtAsR1Inumwj472S9r4,canadian hip hop,canadian pop,hip hop
26,27,Intentions (feat. Quavo),Justin Bieber,4583529,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV,regional-us-weekly-2020-05-01--2020-05-08.csv,May,2020-05-01,18,Top 200,1uNFoZAHBGtllmzznpCI3s,canadian pop,pop,post-teen pop
27,28,Deep Pockets,Drake,4546356,https://open.spotify.com/track/3IvMYBE7A3c7to1aEcfFJk,regional-us-weekly-2020-05-01--2020-05-08.csv,May,2020-05-01,18,Top 200,3TVXtAsR1Inumwj472S9r4,canadian hip hop,canadian pop,hip hop
28,29,When To Say When,Drake,4510858,https://open.spotify.com/track/5TCBWmEBrin7etRa4Lswr1,regional-us-weekly-2020-05-01--2020-05-08.csv,May,2020-05-01,18,Top 200,3TVXtAsR1Inumwj472S9r4,canadian hip hop,canadian pop,hip hop
29,30,goosebumps,Travis Scott,4338751,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2,regional-us-weekly-2020-05-01--2020-05-08.csv,May,2020-05-01,18,Top 200,0Y5tJX1MQlPlqiwlOH1tJY,rap,slap house,
30,31,From Florida With Love,Drake,4166991,https://open.spotify.com/track/0YkUwXxnTkeJBvt5upeEtP,regional-us-weekly-2020-05-01--2020-05-08.csv,May,2020-05-01,18,Top 200,3TVXtAsR1Inumwj472S9r4,canadian hip hop,canadian pop,hip hop
31,32,ROXANNE,Arizona Zervas,4116557,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK,regional-us-weekly-2020-05-01--2020-05-08.csv,May,2020-05-01,18,Top 200,0vRvGUQVUjytro0xpb26bs,pop rap,rhode island rap,
32,33,Say So (feat. Nicki Minaj),Doja Cat,4068118,https://open.spotify.com/track/11VApNQCWLJdzxWrlmwzUa,regional-us-weekly-2020-05-01--2020-05-08.csv,May,2020-05-01,18,Top 200,5cj0lLjcoR7YOSnhnX0Po5,dance pop,pop,pop rap
33,34,HIGHEST IN THE ROOM,Travis Scott,4057375,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW,regional-us-weekly-2020-05-01--2020-05-08.csv,May,2020-05-01,18,Top 200,0Y5tJX1MQlPlqiwlOH1tJY,rap,slap house,
34,35,Falling,Trevor Daniel,4051087,https://open.spotify.com/track/2rRJrJEo19S2J82BDsQ3F7,regional-us-weekly-2020-05-01--2020-05-08.csv,May,2020-05-01,18,Top 200,7uaIm6Pw7xplS8Dy06V6pT,alternative r&b,melodic rap,pop rap
35,36,Supalonely,BENEE,4031275,https://open.spotify.com/track/4nK5YrxbMGZstTLbvj6Gxw,regional-us-weekly-2020-05-01--2020-05-08.csv,May,2020-05-01,18,Top 200,0Cp8WN4V8Tu4QJQwCN5Md4,alt z,nz pop,pop
36,37,Adore You,Harry Styles,3970235,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7,regional-us-weekly-2020-05-01--2020-05-08.csv,May,2020-05-01,18,Top 200,6KImCVD70vtIoJWnq6nGn3,pop,post-teen pop,
37,38,SICKO MODE,Travis Scott,3956372,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h,regional-us-weekly-2020-05-01--2020-05-08.csv,May,2020-05-01,18,Top 200,0Y5tJX1MQlPlqiwlOH1tJY,rap,slap house,
38,39,After Party,Don Toliver,3938792,https://open.spotify.com/track/527k23H0A4Q0UJN3vGs0Da,regional-us-weekly-2020-05-01--2020-05-08.csv,May,2020-05-01,18,Top 200,4Gso3d4CscCijv0lmajZWs,rap,trap,
39,40,Losses,Drake,3821667,https://open.spotify.com/track/6fLVTVaHWaEfVKfEgbkf4D,regional-us-weekly-2020-05-01--2020-05-08.csv,May,2020-05-01,18,Top 200,3TVXtAsR1Inumwj472S9r4,canadian hip hop,canadian pop,hip hop
40,41,High Fashion (feat. Mustard),Roddy Ricch,3802990,https://open.spotify.com/track/07KXEDMj78x68D884wgVEm,regional-us-weekly-2020-05-01--2020-05-08.csv,May,2020-05-01,18,Top 200,757aE44tKEUQEqRuT6GnEB,melodic rap,rap,trap
41,42,War,Drake,3795496,https://open.spotify.com/track/1I55Ea0zVoSKs6MqW7DQ3i,regional-us-weekly-2020-05-01--2020-05-08.csv,May,2020-05-01,18,Top 200,3TVXtAsR1Inumwj472S9r4,canadian hip hop,canadian pop,hip hop
42,43,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,3521506,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY,regional-us-weekly-2020-05-01--2020-05-08.csv,May,2020-05-01,18,Top 200,246dkjvS1zLTtiykXe5h60,dfw rap,melodic rap,rap
43,44,Ballin' (with Roddy Ricch),Mustard,3453347,https://open.spotify.com/track/3QzAOrNlsabgbMwlZt7TAY,regional-us-weekly-2020-05-01--2020-05-08.csv,May,2020-05-01,18,Top 200,0YinUQ50QDB7ZxSCLyQ40k,cali rap,hip hop,pop rap
44,45,Savage,Megan Thee Stallion,3428954,https://open.spotify.com/track/55CHeLEfn5iJ0IIkgaa4si,regional-us-weekly-2020-05-01--2020-05-08.csv,May,2020-05-01,18,Top 200,181bsRPaVXVlUKXrxwZfHK,houston rap,pop,pop rap
45,46,P2,Lil Uzi Vert,3393514,https://open.spotify.com/track/3kW4z2pIj5VY5fLjBrMRL5,regional-us-weekly-2020-05-01--2020-05-08.csv,May,2020-05-01,18,Top 200,4O15NlyKLIASxsJ0PrXPfz,melodic rap,philly rap,rap
46,47,Break My Heart,Dua Lipa,3372675,https://open.spotify.com/track/017PF4Q3l4DBUiWoXk4OWT,regional-us-weekly-2020-05-01--2020-05-08.csv,May,2020-05-01,18,Top 200,6M2wZ9GZgrQXHCFfjv46we,dance pop,pop,uk pop
47,48,Turks (feat. Travis Scott),NAV,3324357,https://open.spotify.com/track/0lSZh5W0wDeurkGzLYY6hf,regional-us-weekly-2020-05-01--2020-05-08.csv,May,2020-05-01,18,Top 200,7rkW85dBwwrJtlHRDkJDAC,canadian hip hop,hip hop,melodic rap
48,49,Boss Bitch,Doja Cat,3294481,https://open.spotify.com/track/78qd8dvwea0Gosb6Fe6j3k,regional-us-weekly-2020-05-01--2020-05-08.csv,May,2020-05-01,18,Top 200,5cj0lLjcoR7YOSnhnX0Po5,dance pop,pop,pop rap
49,50,Myron,Lil Uzi Vert,3288492,https://open.spotify.com/track/56uXDJRCuoS7abX3SkzHKQ,regional-us-weekly-2020-05-01--2020-05-08.csv,May,2020-05-01,18,Top 200,4O15NlyKLIASxsJ0PrXPfz,melodic rap,philly rap,rap
50,51,hot girl bummer,blackbear,3202084,https://open.spotify.com/track/7aiClxsDWFRQ0Kzk5KI5ku,regional-us-weekly-2020-05-01--2020-05-08.csv,May,2020-05-01,18,Top 200,2cFrymmkijnjDg9SS92EPM,electropop,pop,pop rap
51,52,Party Girl,StaySolidRocky,3167207,https://open.spotify.com/track/5RqR4ZCCKJDcBLIn4sih9l,regional-us-weekly-2020-05-01--2020-05-08.csv,May,2020-05-01,18,Top 200,1XLWox9w1Yvbodui0SRhUQ,melodic rap,,
52,53,Someone You Loved,Lewis Capaldi,3154290,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf,regional-us-weekly-2020-05-01--2020-05-08.csv,May,2020-05-01,18,Top 200,4GNC7GD6oZMSxPGyXy4MNB,pop,uk pop,
53,54,Lucid Dreams,Juice WRLD,3127729,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR,regional-us-weekly-2020-05-01--2020-05-08.csv,May,2020-05-01,18,Top 200,4MCBfE4596Uoi2O4DtmEMz,chicago rap,melodic rap,
54,55,Play Date,Melanie Martinez,3124939,https://open.spotify.com/track/4DpNNXFMMxQEKl7r0ykkWA,regional-us-weekly-2020-05-01--2020-05-08.csv,May,2020-05-01,18,Top 200,63yrD80RY3RNEM2YDpUpO8,alt z,dance pop,electropop
55,56,PTSD,G Herbo,3102920,https://open.spotify.com/track/3jT2LKH0RSbQ8jIUNFzXm5,regional-us-weekly-2020-05-01--2020-05-08.csv,May,2020-05-01,18,Top 200,5QdEbQJ3ylBnc3gsIASAT5,chicago drill,chicago rap,drill
56,57,Dance Monkey,Tones And I,3090314,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku,regional-us-weekly-2020-05-01--2020-05-08.csv,May,2020-05-01,18,Top 200,2NjfBq1NflQcKSeiDooVjY,australian pop,pop,
57,58,Suicidal (Remix) [feat. Juice WRLD],YNW Melly,3080055,https://open.spotify.com/track/4S2uhQE8L9V6p7rj7SiauJ,regional-us-weekly-2020-05-01--2020-05-08.csv,May,2020-05-01,18,Top 200,1cNDP5yjU5vjeR8qMf4grg,melodic rap,trap,
58,59,Godzilla (feat. Juice WRLD),Eminem,3063272,https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ,regional-us-weekly-2020-05-01--2020-05-08.csv,May,2020-05-01,18,Top 200,7dGJo4pcD2V6oG8kP0tJRR,detroit hip hop,hip hop,rap
59,60,In Your Eyes,The Weeknd,3044290,https://open.spotify.com/track/7szuecWAPwGoV1e5vGu8tl,regional-us-weekly-2020-05-01--2020-05-08.csv,May,2020-05-01,18,Top 200,1Xyo4u8uXC1ZmMpatF05PJ,canadian contemporary r&b,canadian pop,pop
60,61,If the World Was Ending - feat. Julia Michaels,JP Saxe,2982149,https://open.spotify.com/track/2kJwzbxV2ppxnQoYw4GLBZ,regional-us-weekly-2020-05-01--2020-05-08.csv,May,2020-05-01,18,Top 200,66W9LaWS0DPdL7Sz8iYGYe,alt z,canadian contemporary r&b,indie cafe pop
61,62,Bandit (with YoungBoy Never Broke Again),Juice WRLD,2851257,https://open.spotify.com/track/6Gg1gjgKi2AK4e0qzsR7sd,regional-us-weekly-2020-05-01--2020-05-08.csv,May,2020-05-01,18,Top 200,4MCBfE4596Uoi2O4DtmEMz,chicago rap,melodic rap,
