,Position,Track Name,Artist,URL,Filename,Unnamed: 0,Month,Week Number,Type,Date,Artist ID,Genre 1,Genre 2,Genre 3
19,20,Blinding Lights,The Weeknd,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD,viral-us-weekly-2020-01-09--2020-01-09.csv,,January,2,Viral 50,2020-01-09,3bmFPbLMiLxtR9tFrTcKcP,new wave pop,,
20,21,Falling,Harry Styles,https://open.spotify.com/track/1ZMiCix7XSAbfAJlEZWMCp,viral-us-weekly-2020-01-09--2020-01-09.csv,,January,2,Viral 50,2020-01-09,66W9LaWS0DPdL7Sz8iYGYe,alt z,canadian contemporary r&b,indie cafe pop
21,22,If the World Was Ending - feat. Julia Michaels,JP Saxe,https://open.spotify.com/track/2kJwzbxV2ppxnQoYw4GLBZ,viral-us-weekly-2020-01-09--2020-01-09.csv,,January,2,Viral 50,2020-01-09,1YWJ1WjMkBCB1X3QOJ1Wdn,social media pop,,
22,23,High Fashion (feat. Mustard),Roddy Ricch,https://open.spotify.com/track/07KXEDMj78x68D884wgVEm,viral-us-weekly-2020-01-09--2020-01-09.csv,,January,2,Viral 50,2020-01-09,61lrTfBVPrE3DOTu9MGmhQ,,,
23,24,My Oh My (feat. DaBaby),Camila Cabello,https://open.spotify.com/track/3yOlyBJuViE2YSGn3nVE1K,viral-us-weekly-2020-01-09--2020-01-09.csv,,January,2,Viral 50,2020-01-09,0vRvGUQVUjytro0xpb26bs,pop rap,rhode island rap,
24,25,ROXANNE,Arizona Zervas,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK,viral-us-weekly-2020-01-09--2020-01-09.csv,,January,2,Viral 50,2020-01-09,1Xyo4u8uXC1ZmMpatF05PJ,canadian contemporary r&b,canadian pop,pop
25,26,FML,Arizona Zervas,https://open.spotify.com/track/6lruHh1jF7ezgbLv72xYmf,viral-us-weekly-2020-01-09--2020-01-09.csv,,January,2,Viral 50,2020-01-09,2jHp7gQArCQrlMvdrIVFCg,alt z,indie cafe pop,pop
26,27,"Born to Be Brave - From ""High School Musical: The Musical: The Series""",Cast of High School Musical: The Musical: The Series,https://open.spotify.com/track/68Q2XfjYwOTdIlLhnfeXib,viral-us-weekly-2020-01-09--2020-01-09.csv,,January,2,Viral 50,2020-01-09,4O15NlyKLIASxsJ0PrXPfz,melodic rap,philly rap,rap
27,28,Texas Sun,Khruangbin,https://open.spotify.com/track/3k5oLgungD1dSOGLqQdIQw,viral-us-weekly-2020-01-09--2020-01-09.csv,,January,2,Viral 50,2020-01-09,0gSAxSvAApQc71cTpoXDFu,canadian contemporary country,contemporary country,country pop
28,29,Somebody Like That,Tenille Arts,https://open.spotify.com/track/7EwqgVclB4d5sosUReAInr,viral-us-weekly-2020-01-09--2020-01-09.csv,,January,2,Viral 50,2020-01-09,2mVVjNmdjXZZDvhgQWiakk,neo-psychedelic,,
29,30,Just the Way,Parmalee,https://open.spotify.com/track/5PAvFGse5jjDH9ke8Mae7D,viral-us-weekly-2020-01-09--2020-01-09.csv,,January,2,Viral 50,2020-01-09,0vRvGUQVUjytro0xpb26bs,pop rap,rhode island rap,
30,31,Trying My Best,Anson Seabra,https://open.spotify.com/track/06qUEhhx6jKQmhj2qAkn4H,viral-us-weekly-2020-01-09--2020-01-09.csv,,January,2,Viral 50,2020-01-09,0H39MdGGX6dbnnQPt6NQkZ,melodic rap,rap,slap house
31,32,Maniac,Conan Gray,https://open.spotify.com/track/7hpJ9tATWb2vztlq99hERP,viral-us-weekly-2020-01-09--2020-01-09.csv,,January,2,Viral 50,2020-01-09,4TshyQDihSYXSWqvclXl3I,contemporary country,country,country pop
32,33,ORANGE SODA,Baby Keem,https://open.spotify.com/track/5FkoSXiJPKTNyYgALRJFhD,viral-us-weekly-2020-01-09--2020-01-09.csv,,January,2,Viral 50,2020-01-09,27gtK7m9vYwCyJ04zz0kIb,gauze pop,progressive house,tropical house
33,34,Way Maker - Live,Leeland,https://open.spotify.com/track/40ozK0lCJ0EQzVGWsCNUhk,viral-us-weekly-2020-01-09--2020-01-09.csv,,January,2,Viral 50,2020-01-09,6KImCVD70vtIoJWnq6nGn3,pop,post-teen pop,
34,35,Don't Start Now,Dua Lipa,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg,viral-us-weekly-2020-01-09--2020-01-09.csv,,January,2,Viral 50,2020-01-09,790FomKkXshlbRYZFtlgla,latin,reggaeton,reggaeton colombiano
35,36,Tusa,KAROL G,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY,viral-us-weekly-2020-01-09--2020-01-09.csv,,January,2,Viral 50,2020-01-09,3fZk3Gm5dN5v5yfYMQ04Bx,latin,reggaeton,reggaeton flow
36,37,"I Think I Kinda, You Know - Duet",Olivia Rodrigo,https://open.spotify.com/track/2UVrIJBJVRPN9UgzShCJ5c,viral-us-weekly-2020-01-09--2020-01-09.csv,,January,2,Viral 50,2020-01-09,1z4g3DjTBBZKhvAroFlhOM,k-pop,k-pop girl group,
37,38,Nobody But You (Duet with Gwen Stefani),Blake Shelton,https://open.spotify.com/track/5M8goiFYynmNxhueYW6grR,viral-us-weekly-2020-01-09--2020-01-09.csv,,January,2,Viral 50,2020-01-09,6eU0jV2eEZ8XTM7EmlguK6,retro soul,,
38,39,Sigues Con El,Dímelo Flow,https://open.spotify.com/track/7sQKy5vlPQllr0k9IjYJv3,viral-us-weekly-2020-01-09--2020-01-09.csv,,January,2,Viral 50,2020-01-09,1McMsnEElThX1knmY4oliG,pop,post-teen pop,
39,40,In The Party,Flo Milli,https://open.spotify.com/track/2JF8KwK1hH7MWxKcFdTlcg,viral-us-weekly-2020-01-09--2020-01-09.csv,,January,2,Viral 50,2020-01-09,6M2wZ9GZgrQXHCFfjv46we,dance pop,pop,uk pop
40,41,Y U Gotta B Like That,Audrey Mika,https://open.spotify.com/track/45StvejYUdIsyUwqdZ7iJM,viral-us-weekly-2020-01-09--2020-01-09.csv,,January,2,Viral 50,2020-01-09,6j1fmLreVuAay7k6Gudfa2,anthem worship,ccm,christian alternative rock
41,42,Dance Monkey,Tones And I,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku,viral-us-weekly-2020-01-09--2020-01-09.csv,,January,2,Viral 50,2020-01-09,5SXuuuRpukkTvsLuUknva1,hip hop,rap,trap
42,43,stupid,Tate McRae,https://open.spotify.com/track/4k3uABcX9iaGlt5pRJhumi,viral-us-weekly-2020-01-09--2020-01-09.csv,,January,2,Viral 50,2020-01-09,45dkTj5sMRSjrmBSBeiHym,alt z,dance pop,electropop
43,44,Heart On Ice,Rod Wave,https://open.spotify.com/track/6fWa5CRgy0z30OeGZyMBvD,viral-us-weekly-2020-01-09--2020-01-09.csv,,January,2,Viral 50,2020-01-09,0cGUm45nv7Z6M6qdXYQGTX,dance pop,pop,pop rap
44,45,Ballin' (with Roddy Ricch),Mustard,https://open.spotify.com/track/3QzAOrNlsabgbMwlZt7TAY,viral-us-weekly-2020-01-09--2020-01-09.csv,,January,2,Viral 50,2020-01-09,4nDoRrQiYLoBzwC5BhVJzF,dance pop,electropop,pop
45,46,Peta (feat. Meek Mill),Roddy Ricch,https://open.spotify.com/track/4bl1HBZliBuYpFZjWgefE4,viral-us-weekly-2020-01-09--2020-01-09.csv,,January,2,Viral 50,2020-01-09,4Uc8Dsxct0oMqx0P6i60ea,alt z,bedroom pop,electropop
46,47,everything i wanted,Billie Eilish,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ,viral-us-weekly-2020-01-09--2020-01-09.csv,,January,2,Viral 50,2020-01-09,0YinUQ50QDB7ZxSCLyQ40k,cali rap,hip hop,pop rap
47,48,Holy Water,We The Kingdom,https://open.spotify.com/track/1xI9KSGNJB2eka8FMvovvi,viral-us-weekly-2020-01-09--2020-01-09.csv,,January,2,Viral 50,2020-01-09,6lEhBhAv6HOopjXssi09cq,houston rap,viral rap,
48,49,Under The Moon,070 Shake,https://open.spotify.com/track/3RDgzyHD6uMNdCVnQIkD32,viral-us-weekly-2020-01-09--2020-01-09.csv,,January,2,Viral 50,2020-01-09,3JDG63cSaK3xgDnB2H55Xp,alt z,chill r&b,
49,50,Mind Is A Prison,Alec Benjamin,https://open.spotify.com/track/4GGSmoTmc5LClrowB4SmEw,viral-us-weekly-2020-01-09--2020-01-09.csv,,January,2,Viral 50,2020-01-09,0Cp8WN4V8Tu4QJQwCN5Md4,alt z,nz pop,pop
0,1,The Box,Roddy Ricch,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I,jan_viral_50.csv,0.0,January,,Viral 50,,757aE44tKEUQEqRuT6GnEB,melodic rap,rap,trap
1,2,"All I Want - From ""High School Musical: The Musical: The Series""",Olivia Rodrigo,https://open.spotify.com/track/4Yxc55NX3tAXC2mHRAhtcW,jan_viral_50.csv,1.0,January,,Viral 50,,4Ywiqc8KxAECFoOWWAYry4,,,
2,3,Blueberry Fergo,Lil Monet,https://open.spotify.com/track/6CrMU5zXlKNGsipNhiu7hN,jan_viral_50.csv,2.0,January,,Viral 50,,16Nc36xAtNyQ7BMBcDsaLv,cali rap,,
3,4,GOODMORNINGTOKYO!,TOKYO’S REVENGE,https://open.spotify.com/track/0Q2n5yzl2XRqYbV77tZNYp,jan_viral_50.csv,3.0,January,,Viral 50,,1McMsnEElThX1knmY4oliG,pop,post-teen pop,
4,5,Kraazy,Likybo,https://open.spotify.com/track/3s2Qd1rsWqbvOoxpFTRp8D,jan_viral_50.csv,4.0,January,,Viral 50,,5TbLOwv8BNnik3f03NZJlt,meme rap,sad rap,vapor trap
5,6,No Idea,Don Toliver,https://open.spotify.com/track/3VyjsVV24RmBIbWJAeUJNu,jan_viral_50.csv,5.0,January,,Viral 50,,1McMsnEElThX1knmY4oliG,pop,post-teen pop,
6,7,When There Was Me and You,Joshua Bassett,https://open.spotify.com/track/0vS9Gkt1dAT2PBBiaPqcA4,jan_viral_50.csv,6.0,January,,Viral 50,,1YWJ1WjMkBCB1X3QOJ1Wdn,social media pop,,
7,8,BOYFREN,LoveLeo,https://open.spotify.com/track/2YJ7tTicU1vUmUjYNJROrv,jan_viral_50.csv,7.0,January,,Viral 50,,5cj0lLjcoR7YOSnhnX0Po5,dance pop,pop,pop rap
8,9,Crunk Ain't Dead,Duke Deuce,https://open.spotify.com/track/4RsTfAuTiUyL7GKGPiNC0w,jan_viral_50.csv,8.0,January,,Viral 50,,1Bl6wpkWCQ4KVgnASpvzzA,boy band,hip hop,rap
9,10,"Wondering - From ""High School Musical: The Musical: The Series""",Olivia Rodrigo,https://open.spotify.com/track/6GfTYfb5eBLN1p1ByOsPmi,jan_viral_50.csv,9.0,January,,Viral 50,,24zj84GShUIcBQYq6VpOYW,atl trap,memphis hip hop,trap
10,11,Say So,Doja Cat,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ,jan_viral_50.csv,10.0,January,,Viral 50,,1cNDP5yjU5vjeR8qMf4grg,melodic rap,trap,
11,12,Falling,Trevor Daniel,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa,jan_viral_50.csv,11.0,January,,Viral 50,,757aE44tKEUQEqRuT6GnEB,melodic rap,rap,trap
12,13,THOT!,TOKYO’S REVENGE,https://open.spotify.com/track/2St8HeG23Nzp4NYaWTNtuM,jan_viral_50.csv,12.0,January,,Viral 50,,4Gso3d4CscCijv0lmajZWs,rap,trap,
13,14,SUGAR,BROCKHAMPTON,https://open.spotify.com/track/6U0FIYXCQ3TGrk4tFpLrEA,jan_viral_50.csv,13.0,January,,Viral 50,,0JDVDA5aG4Y2wXylqghzC6,modern indie pop,,
14,15,Suicidal,YNW Melly,https://open.spotify.com/track/1iSqfoUFnQwV0QW1EfUit8,jan_viral_50.csv,14.0,January,,Viral 50,,5LHRHt1k9lMyONurDHEdrp,dance pop,hip hop,pop rap
15,16,Ayy Macarena,Tyga,https://open.spotify.com/track/6LcauUZjF1eXQrgqMUecHX,jan_viral_50.csv,15.0,January,,Viral 50,,0Wkm45quqfx3NepJpXDvwE,art pop,,
16,17,Futsal Shuffle 2020,Lil Uzi Vert,https://open.spotify.com/track/2Ec33AVlkTTq8BHFgBTdQs,jan_viral_50.csv,16.0,January,,Viral 50,,5TbLOwv8BNnik3f03NZJlt,meme rap,sad rap,vapor trap
17,18,Roses - Imanbek Remix,SAINt JHN,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI,jan_viral_50.csv,17.0,January,,Viral 50,,1UTPBmNbXNTittyMJrNkvw,contemporary country,country,country road
18,19,Adore You,Harry Styles,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7,jan_viral_50.csv,18.0,January,,Viral 50,,7uaIm6Pw7xplS8Dy06V6pT,alternative r&b,melodic rap,pop rap
19,20,Blinding Lights,The Weeknd,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD,jan_viral_50.csv,19.0,January,,Viral 50,,3bmFPbLMiLxtR9tFrTcKcP,new wave pop,,
20,21,Falling,Harry Styles,https://open.spotify.com/track/1ZMiCix7XSAbfAJlEZWMCp,jan_viral_50.csv,20.0,January,,Viral 50,,66W9LaWS0DPdL7Sz8iYGYe,alt z,canadian contemporary r&b,indie cafe pop
21,22,If the World Was Ending - feat. Julia Michaels,JP Saxe,https://open.spotify.com/track/2kJwzbxV2ppxnQoYw4GLBZ,jan_viral_50.csv,21.0,January,,Viral 50,,1YWJ1WjMkBCB1X3QOJ1Wdn,social media pop,,
22,23,High Fashion (feat. Mustard),Roddy Ricch,https://open.spotify.com/track/07KXEDMj78x68D884wgVEm,jan_viral_50.csv,22.0,January,,Viral 50,,61lrTfBVPrE3DOTu9MGmhQ,,,
23,24,My Oh My (feat. DaBaby),Camila Cabello,https://open.spotify.com/track/3yOlyBJuViE2YSGn3nVE1K,jan_viral_50.csv,23.0,January,,Viral 50,,0vRvGUQVUjytro0xpb26bs,pop rap,rhode island rap,
24,25,ROXANNE,Arizona Zervas,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK,jan_viral_50.csv,24.0,January,,Viral 50,,1Xyo4u8uXC1ZmMpatF05PJ,canadian contemporary r&b,canadian pop,pop
25,26,FML,Arizona Zervas,https://open.spotify.com/track/6lruHh1jF7ezgbLv72xYmf,jan_viral_50.csv,25.0,January,,Viral 50,,2jHp7gQArCQrlMvdrIVFCg,alt z,indie cafe pop,pop
26,27,"Born to Be Brave - From ""High School Musical: The Musical: The Series""",Cast of High School Musical: The Musical: The Series,https://open.spotify.com/track/68Q2XfjYwOTdIlLhnfeXib,jan_viral_50.csv,26.0,January,,Viral 50,,4O15NlyKLIASxsJ0PrXPfz,melodic rap,philly rap,rap
27,28,Texas Sun,Khruangbin,https://open.spotify.com/track/3k5oLgungD1dSOGLqQdIQw,jan_viral_50.csv,27.0,January,,Viral 50,,0gSAxSvAApQc71cTpoXDFu,canadian contemporary country,contemporary country,country pop
28,29,Somebody Like That,Tenille Arts,https://open.spotify.com/track/7EwqgVclB4d5sosUReAInr,jan_viral_50.csv,28.0,January,,Viral 50,,2mVVjNmdjXZZDvhgQWiakk,neo-psychedelic,,
29,30,Just the Way,Parmalee,https://open.spotify.com/track/5PAvFGse5jjDH9ke8Mae7D,jan_viral_50.csv,29.0,January,,Viral 50,,0vRvGUQVUjytro0xpb26bs,pop rap,rhode island rap,
30,31,Trying My Best,Anson Seabra,https://open.spotify.com/track/06qUEhhx6jKQmhj2qAkn4H,jan_viral_50.csv,30.0,January,,Viral 50,,0H39MdGGX6dbnnQPt6NQkZ,melodic rap,rap,slap house
31,32,Maniac,Conan Gray,https://open.spotify.com/track/7hpJ9tATWb2vztlq99hERP,jan_viral_50.csv,31.0,January,,Viral 50,,4TshyQDihSYXSWqvclXl3I,contemporary country,country,country pop
32,33,ORANGE SODA,Baby Keem,https://open.spotify.com/track/5FkoSXiJPKTNyYgALRJFhD,jan_viral_50.csv,32.0,January,,Viral 50,,27gtK7m9vYwCyJ04zz0kIb,gauze pop,progressive house,tropical house
33,34,Way Maker - Live,Leeland,https://open.spotify.com/track/40ozK0lCJ0EQzVGWsCNUhk,jan_viral_50.csv,33.0,January,,Viral 50,,6KImCVD70vtIoJWnq6nGn3,pop,post-teen pop,
34,35,Don't Start Now,Dua Lipa,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg,jan_viral_50.csv,34.0,January,,Viral 50,,790FomKkXshlbRYZFtlgla,latin,reggaeton,reggaeton colombiano
35,36,Tusa,KAROL G,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY,jan_viral_50.csv,35.0,January,,Viral 50,,3fZk3Gm5dN5v5yfYMQ04Bx,latin,reggaeton,reggaeton flow
36,37,"I Think I Kinda, You Know - Duet",Olivia Rodrigo,https://open.spotify.com/track/2UVrIJBJVRPN9UgzShCJ5c,jan_viral_50.csv,36.0,January,,Viral 50,,1z4g3DjTBBZKhvAroFlhOM,k-pop,k-pop girl group,
37,38,Nobody But You (Duet with Gwen Stefani),Blake Shelton,https://open.spotify.com/track/5M8goiFYynmNxhueYW6grR,jan_viral_50.csv,37.0,January,,Viral 50,,6eU0jV2eEZ8XTM7EmlguK6,retro soul,,
38,39,Sigues Con El,Dímelo Flow,https://open.spotify.com/track/7sQKy5vlPQllr0k9IjYJv3,jan_viral_50.csv,38.0,January,,Viral 50,,1McMsnEElThX1knmY4oliG,pop,post-teen pop,
39,40,In The Party,Flo Milli,https://open.spotify.com/track/2JF8KwK1hH7MWxKcFdTlcg,jan_viral_50.csv,39.0,January,,Viral 50,,6M2wZ9GZgrQXHCFfjv46we,dance pop,pop,uk pop
40,41,Y U Gotta B Like That,Audrey Mika,https://open.spotify.com/track/45StvejYUdIsyUwqdZ7iJM,jan_viral_50.csv,40.0,January,,Viral 50,,6j1fmLreVuAay7k6Gudfa2,anthem worship,ccm,christian alternative rock
41,42,Dance Monkey,Tones And I,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku,jan_viral_50.csv,41.0,January,,Viral 50,,5SXuuuRpukkTvsLuUknva1,hip hop,rap,trap
42,43,stupid,Tate McRae,https://open.spotify.com/track/4k3uABcX9iaGlt5pRJhumi,jan_viral_50.csv,42.0,January,,Viral 50,,45dkTj5sMRSjrmBSBeiHym,alt z,dance pop,electropop
43,44,Heart On Ice,Rod Wave,https://open.spotify.com/track/6fWa5CRgy0z30OeGZyMBvD,jan_viral_50.csv,43.0,January,,Viral 50,,0cGUm45nv7Z6M6qdXYQGTX,dance pop,pop,pop rap
44,45,Ballin' (with Roddy Ricch),Mustard,https://open.spotify.com/track/3QzAOrNlsabgbMwlZt7TAY,jan_viral_50.csv,44.0,January,,Viral 50,,4nDoRrQiYLoBzwC5BhVJzF,dance pop,electropop,pop
45,46,Peta (feat. Meek Mill),Roddy Ricch,https://open.spotify.com/track/4bl1HBZliBuYpFZjWgefE4,jan_viral_50.csv,45.0,January,,Viral 50,,4Uc8Dsxct0oMqx0P6i60ea,alt z,bedroom pop,electropop
46,47,everything i wanted,Billie Eilish,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ,jan_viral_50.csv,46.0,January,,Viral 50,,0YinUQ50QDB7ZxSCLyQ40k,cali rap,hip hop,pop rap
47,48,Holy Water,We The Kingdom,https://open.spotify.com/track/1xI9KSGNJB2eka8FMvovvi,jan_viral_50.csv,47.0,January,,Viral 50,,6lEhBhAv6HOopjXssi09cq,houston rap,viral rap,
48,49,Under The Moon,070 Shake,https://open.spotify.com/track/3RDgzyHD6uMNdCVnQIkD32,jan_viral_50.csv,48.0,January,,Viral 50,,3JDG63cSaK3xgDnB2H55Xp,alt z,chill r&b,
49,50,Mind Is A Prison,Alec Benjamin,https://open.spotify.com/track/4GGSmoTmc5LClrowB4SmEw,jan_viral_50.csv,49.0,January,,Viral 50,,0Cp8WN4V8Tu4QJQwCN5Md4,alt z,nz pop,pop
50,1,GOODMORNINGTOKYO!,TOKYO’S REVENGE,https://open.spotify.com/track/0Q2n5yzl2XRqYbV77tZNYp,jan_viral_50.csv,0.0,January,,Viral 50,,5TbLOwv8BNnik3f03NZJlt,meme rap,sad rap,vapor trap
51,2,Blueberry faygo,Yung Anime,https://open.spotify.com/track/4ADzhwPWMQaTXNnEP8gXnQ,jan_viral_50.csv,1.0,January,,Viral 50,,6aeuDb3tA4S9lTin8TvHWu,,,
52,3,"All I Want - From ""High School Musical: The Musical: The Series""",Olivia Rodrigo,https://open.spotify.com/track/4Yxc55NX3tAXC2mHRAhtcW,jan_viral_50.csv,2.0,January,,Viral 50,,1McMsnEElThX1knmY4oliG,pop,post-teen pop,
53,4,The Box,Roddy Ricch,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I,jan_viral_50.csv,3.0,January,,Viral 50,,757aE44tKEUQEqRuT6GnEB,melodic rap,rap,trap
54,5,BOYFREN,LoveLeo,https://open.spotify.com/track/2YJ7tTicU1vUmUjYNJROrv,jan_viral_50.csv,4.0,January,,Viral 50,,0JDVDA5aG4Y2wXylqghzC6,modern indie pop,,
55,6,No Idea,Don Toliver,https://open.spotify.com/track/3VyjsVV24RmBIbWJAeUJNu,jan_viral_50.csv,5.0,January,,Viral 50,,4Gso3d4CscCijv0lmajZWs,rap,trap,
56,7,THOT!,TOKYO’S REVENGE,https://open.spotify.com/track/2St8HeG23Nzp4NYaWTNtuM,jan_viral_50.csv,6.0,January,,Viral 50,,5TbLOwv8BNnik3f03NZJlt,meme rap,sad rap,vapor trap
57,8,Falling,Trevor Daniel,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa,jan_viral_50.csv,7.0,January,,Viral 50,,7uaIm6Pw7xplS8Dy06V6pT,alternative r&b,melodic rap,pop rap
58,9,"Wondering - From ""High School Musical: The Musical: The Series""",Olivia Rodrigo,https://open.spotify.com/track/6GfTYfb5eBLN1p1ByOsPmi,jan_viral_50.csv,8.0,January,,Viral 50,,1McMsnEElThX1knmY4oliG,pop,post-teen pop,
59,10,Adore You,Harry Styles,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7,jan_viral_50.csv,9.0,January,,Viral 50,,6KImCVD70vtIoJWnq6nGn3,pop,post-teen pop,
60,11,Suicidal,YNW Melly,https://open.spotify.com/track/1iSqfoUFnQwV0QW1EfUit8,jan_viral_50.csv,10.0,January,,Viral 50,,1cNDP5yjU5vjeR8qMf4grg,melodic rap,trap,
61,12,Say So,Doja Cat,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ,jan_viral_50.csv,11.0,January,,Viral 50,,5cj0lLjcoR7YOSnhnX0Po5,dance pop,pop,pop rap
