,Position,Track Name,Artist,URL,Filename,Month,Week Number,Type,Date,Artist ID,Genre 1,Genre 2,Genre 3
23,24,My Oh My (feat. DaBaby),Camila Cabello,https://open.spotify.com/track/3yOlyBJuViE2YSGn3nVE1K,viral-us-weekly-2020-01-09--2020-01-09.csv,January,2,Viral 50,2020-01-09,4nDoRrQiYLoBzwC5BhVJzF,dance pop,electropop,pop
24,25,ROXANNE,Arizona Zervas,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK,viral-us-weekly-2020-01-09--2020-01-09.csv,January,2,Viral 50,2020-01-09,0vRvGUQVUjytro0xpb26bs,pop rap,rhode island rap,
25,26,FML,Arizona Zervas,https://open.spotify.com/track/6lruHh1jF7ezgbLv72xYmf,viral-us-weekly-2020-01-09--2020-01-09.csv,January,2,Viral 50,2020-01-09,0vRvGUQVUjytro0xpb26bs,pop rap,rhode island rap,
26,27,"Born to Be Brave - From ""High School Musical: The Musical: The Series""",Cast of High School Musical: The Musical: The Series,https://open.spotify.com/track/68Q2XfjYwOTdIlLhnfeXib,viral-us-weekly-2020-01-09--2020-01-09.csv,January,2,Viral 50,2020-01-09,1YWJ1WjMkBCB1X3QOJ1Wdn,social media pop,,
27,28,Texas Sun,Khruangbin,https://open.spotify.com/track/3k5oLgungD1dSOGLqQdIQw,viral-us-weekly-2020-01-09--2020-01-09.csv,January,2,Viral 50,2020-01-09,2mVVjNmdjXZZDvhgQWiakk,neo-psychedelic,,
28,29,Somebody Like That,Tenille Arts,https://open.spotify.com/track/7EwqgVclB4d5sosUReAInr,viral-us-weekly-2020-01-09--2020-01-09.csv,January,2,Viral 50,2020-01-09,0gSAxSvAApQc71cTpoXDFu,canadian contemporary country,contemporary country,country pop
29,30,Just the Way,Parmalee,https://open.spotify.com/track/5PAvFGse5jjDH9ke8Mae7D,viral-us-weekly-2020-01-09--2020-01-09.csv,January,2,Viral 50,2020-01-09,4TshyQDihSYXSWqvclXl3I,contemporary country,country,country pop
30,31,Trying My Best,Anson Seabra,https://open.spotify.com/track/06qUEhhx6jKQmhj2qAkn4H,viral-us-weekly-2020-01-09--2020-01-09.csv,January,2,Viral 50,2020-01-09,2jHp7gQArCQrlMvdrIVFCg,alt z,indie cafe pop,pop
31,32,Maniac,Conan Gray,https://open.spotify.com/track/7hpJ9tATWb2vztlq99hERP,viral-us-weekly-2020-01-09--2020-01-09.csv,January,2,Viral 50,2020-01-09,4Uc8Dsxct0oMqx0P6i60ea,alt z,bedroom pop,electropop
32,33,ORANGE SODA,Baby Keem,https://open.spotify.com/track/5FkoSXiJPKTNyYgALRJFhD,viral-us-weekly-2020-01-09--2020-01-09.csv,January,2,Viral 50,2020-01-09,5SXuuuRpukkTvsLuUknva1,hip hop,rap,trap
33,34,Way Maker - Live,Leeland,https://open.spotify.com/track/40ozK0lCJ0EQzVGWsCNUhk,viral-us-weekly-2020-01-09--2020-01-09.csv,January,2,Viral 50,2020-01-09,6j1fmLreVuAay7k6Gudfa2,anthem worship,ccm,christian alternative rock
34,35,Don't Start Now,Dua Lipa,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg,viral-us-weekly-2020-01-09--2020-01-09.csv,January,2,Viral 50,2020-01-09,6M2wZ9GZgrQXHCFfjv46we,dance pop,pop,uk pop
35,36,Tusa,KAROL G,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY,viral-us-weekly-2020-01-09--2020-01-09.csv,January,2,Viral 50,2020-01-09,790FomKkXshlbRYZFtlgla,latin,reggaeton,reggaeton colombiano
36,37,"I Think I Kinda, You Know - Duet",Olivia Rodrigo,https://open.spotify.com/track/2UVrIJBJVRPN9UgzShCJ5c,viral-us-weekly-2020-01-09--2020-01-09.csv,January,2,Viral 50,2020-01-09,1McMsnEElThX1knmY4oliG,pop,post-teen pop,
37,38,Nobody But You (Duet with Gwen Stefani),Blake Shelton,https://open.spotify.com/track/5M8goiFYynmNxhueYW6grR,viral-us-weekly-2020-01-09--2020-01-09.csv,January,2,Viral 50,2020-01-09,1UTPBmNbXNTittyMJrNkvw,contemporary country,country,country road
38,39,Sigues Con El,Dímelo Flow,https://open.spotify.com/track/7sQKy5vlPQllr0k9IjYJv3,viral-us-weekly-2020-01-09--2020-01-09.csv,January,2,Viral 50,2020-01-09,3fZk3Gm5dN5v5yfYMQ04Bx,latin,reggaeton,reggaeton flow
39,40,In The Party,Flo Milli,https://open.spotify.com/track/2JF8KwK1hH7MWxKcFdTlcg,viral-us-weekly-2020-01-09--2020-01-09.csv,January,2,Viral 50,2020-01-09,08PvCOlef4xdOr20jFSTPd,dance pop,pop,pop rap
40,41,Y U Gotta B Like That,Audrey Mika,https://open.spotify.com/track/45StvejYUdIsyUwqdZ7iJM,viral-us-weekly-2020-01-09--2020-01-09.csv,January,2,Viral 50,2020-01-09,3JDG63cSaK3xgDnB2H55Xp,alt z,chill r&b,
41,42,Dance Monkey,Tones And I,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku,viral-us-weekly-2020-01-09--2020-01-09.csv,January,2,Viral 50,2020-01-09,2NjfBq1NflQcKSeiDooVjY,australian pop,pop,
42,43,stupid,Tate McRae,https://open.spotify.com/track/4k3uABcX9iaGlt5pRJhumi,viral-us-weekly-2020-01-09--2020-01-09.csv,January,2,Viral 50,2020-01-09,45dkTj5sMRSjrmBSBeiHym,alt z,dance pop,electropop
43,44,Heart On Ice,Rod Wave,https://open.spotify.com/track/6fWa5CRgy0z30OeGZyMBvD,viral-us-weekly-2020-01-09--2020-01-09.csv,January,2,Viral 50,2020-01-09,45TgXXqMDdF8BkjA83OM7z,florida rap,,
44,45,Ballin' (with Roddy Ricch),Mustard,https://open.spotify.com/track/3QzAOrNlsabgbMwlZt7TAY,viral-us-weekly-2020-01-09--2020-01-09.csv,January,2,Viral 50,2020-01-09,0YinUQ50QDB7ZxSCLyQ40k,cali rap,hip hop,pop rap
45,46,Peta (feat. Meek Mill),Roddy Ricch,https://open.spotify.com/track/4bl1HBZliBuYpFZjWgefE4,viral-us-weekly-2020-01-09--2020-01-09.csv,January,2,Viral 50,2020-01-09,757aE44tKEUQEqRuT6GnEB,melodic rap,rap,trap
46,47,everything i wanted,Billie Eilish,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ,viral-us-weekly-2020-01-09--2020-01-09.csv,January,2,Viral 50,2020-01-09,6qqNVTkY8uBg9cP3Jd7DAH,electropop,pop,
47,48,Holy Water,We The Kingdom,https://open.spotify.com/track/1xI9KSGNJB2eka8FMvovvi,viral-us-weekly-2020-01-09--2020-01-09.csv,January,2,Viral 50,2020-01-09,5Ye2QWN2Wl9zTn947eaest,anthem worship,ccm,
48,49,Under The Moon,070 Shake,https://open.spotify.com/track/3RDgzyHD6uMNdCVnQIkD32,viral-us-weekly-2020-01-09--2020-01-09.csv,January,2,Viral 50,2020-01-09,12Zk1DFhCbHY6v3xep2ZjI,alternative r&b,new jersey rap,
49,50,Mind Is A Prison,Alec Benjamin,https://open.spotify.com/track/4GGSmoTmc5LClrowB4SmEw,viral-us-weekly-2020-01-09--2020-01-09.csv,January,2,Viral 50,2020-01-09,5IH6FPUwQTxPSXurCrcIov,alt z,electropop,pop
50,1,GOODMORNINGTOKYO!,TOKYO’S REVENGE,https://open.spotify.com/track/0Q2n5yzl2XRqYbV77tZNYp,viral-us-weekly-2020-01-02--2020-01-02.csv,January,1,Viral 50,2020-01-02,5TbLOwv8BNnik3f03NZJlt,meme rap,sad rap,vapor trap
51,2,Blueberry faygo,Yung Anime,https://open.spotify.com/track/4ADzhwPWMQaTXNnEP8gXnQ,viral-us-weekly-2020-01-02--2020-01-02.csv,January,1,Viral 50,2020-01-02,6aeuDb3tA4S9lTin8TvHWu,unspecified,,
52,3,"All I Want - From ""High School Musical: The Musical: The Series""",Olivia Rodrigo,https://open.spotify.com/track/4Yxc55NX3tAXC2mHRAhtcW,viral-us-weekly-2020-01-02--2020-01-02.csv,January,1,Viral 50,2020-01-02,1McMsnEElThX1knmY4oliG,pop,post-teen pop,
53,4,The Box,Roddy Ricch,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I,viral-us-weekly-2020-01-02--2020-01-02.csv,January,1,Viral 50,2020-01-02,757aE44tKEUQEqRuT6GnEB,melodic rap,rap,trap
54,5,BOYFREN,LoveLeo,https://open.spotify.com/track/2YJ7tTicU1vUmUjYNJROrv,viral-us-weekly-2020-01-02--2020-01-02.csv,January,1,Viral 50,2020-01-02,0JDVDA5aG4Y2wXylqghzC6,modern indie pop,,
55,6,No Idea,Don Toliver,https://open.spotify.com/track/3VyjsVV24RmBIbWJAeUJNu,viral-us-weekly-2020-01-02--2020-01-02.csv,January,1,Viral 50,2020-01-02,4Gso3d4CscCijv0lmajZWs,rap,trap,
