Position,"Track Name",Artist,URL
1,"Backyard Boy","Claire Rosinkranz",https://open.spotify.com/track/0y9fkzOaaQy4Up22BGUbIp
2,"3 Musketeers",NextYoungin,https://open.spotify.com/track/2gSbNY2qXZ5mPVixrMaFrY
3,DDLG,ppcocaine,https://open.spotify.com/track/42dtq3bqOCzD0L2kITk4Dp
4,"Such a Whore (Stellular Remix)",JVLA,https://open.spotify.com/track/6A25J9As7towpxovYryAWr
5,F2020,"Avenue Beat",https://open.spotify.com/track/3HZuxQ80VWOsBWws8XQdFB
6,"NEVER MET!",CMTEN,https://open.spotify.com/track/7nJWotqUUPhVaCAOov6qGp
7,WATER,Salatiel,https://open.spotify.com/track/5vIiGOCqhPwnQDZhWhewGU
8,"Stuck in the Middle","Tai Verdes",https://open.spotify.com/track/2HQPOVBAOU2EBTy1nBGRiW
9,Overwhelmed,"Royal & the Serpent",https://open.spotify.com/track/5jjZikDrEd0by1o7V3fO4y
10,Ashes,Stellar,https://open.spotify.com/track/2NeyJbL3ROKCjRkAjs77ya
11,"Agua (with J Balvin) - Music From ""Sponge On The Run"" Movie",Tainy,https://open.spotify.com/track/1pqnQ41XbfKjaFu6M0eGJp
12,"Head & Heart (feat. MNEK)","Joel Corry",https://open.spotify.com/track/6cx06DFPPHchuUAcTxznu9
13,"Mood Swings (feat. Lil Tjay)","Pop Smoke",https://open.spotify.com/track/5rZlwNFl01HqLWBQGryKSm
14,"Long Run (feat. Nina Nesbitt)",Deacon,https://open.spotify.com/track/71xLha47XAePi0EbzHAbEW
15,"In This Shirt","The Irrepressibles",https://open.spotify.com/track/60mItLdFl6xkYc1sAjlZlf
16,"Then Leave (feat. Queendom Come)",BeatKing,https://open.spotify.com/track/2Xoc4gqPbBa3QHKpBLJ5l8
17,"Be Like That - feat. Swae Lee & Khalid","Kane Brown",https://open.spotify.com/track/5f1joOtoMeyppIcJGZQvqJ
18,Hatchback,Cochise,https://open.spotify.com/track/12hVQgYR254ZziANtiKVWQ
19,"Come & Go (with Marshmello)","Juice WRLD",https://open.spotify.com/track/7y7w4tl4MaRC2UMEj1mPtr
20,"DON'T JEALOUS ME",Tekno,https://open.spotify.com/track/1yvFoBp2Bq1ilD0518ZpQx
21,"Heat Waves","Glass Animals",https://open.spotify.com/track/6CDzDgIUqeDY5g8ujExx2f
22,"Wishing Well","Juice WRLD",https://open.spotify.com/track/6o3QUC5oAE4g6WxRIFcZtb
23,Phantom,"Allen Mock",https://open.spotify.com/track/7hX7eKN0PglaprxYdmD6rn
24,"Savage Love (Laxed - Siren Beat)","Jawsh 685",https://open.spotify.com/track/1xQ6trAsedVPCdbtDAmk0c
25,"Thank You Lord (feat. Thomas Rhett & Florida Georgia Line)","Chris Tomlin",https://open.spotify.com/track/1k9dLBzwep1k1eGP0Ec8ZK
26,"Eyes Blue Like The Atlantic (feat. Subvrbs)","Sista Prod",https://open.spotify.com/track/0qUcpOOna3kkrwfqky85e1
27,Maria,"Hwa Sa",https://open.spotify.com/track/2kqnQCChvRpDRAasIwc4Rh
28,"Stunnin' (feat. Harm Franklin)","Curtis Waters",https://open.spotify.com/track/2D0dj3hVkRQJCp63cxCPEx
29,"MY POWER",Nija,https://open.spotify.com/track/7ia5l12mCvbQTeAnG1oYpg
30,24,"Money Man",https://open.spotify.com/track/2FVMbLuIxo0dz3KLXgN6Jh
31,"Pass It (feat. G-Eazy)","MK xyz",https://open.spotify.com/track/4h0QQdrUaJjxSOrOjZQbz0
32,"WHATS POPPIN (feat. DaBaby, Tory Lanez & Lil Wayne) - Remix","Jack Harlow",https://open.spotify.com/track/2MbdDtCv5LUVjYy9RuGTgC
33,"Save Me","Jelly Roll",https://open.spotify.com/track/5ShenzydHxkHm8w6vdJxMT
34,"Free Joe Exotic","Bfb Da Packman",https://open.spotify.com/track/3uzrG1ZgnMeATFf2KgAV6I
35,Heather,"Conan Gray",https://open.spotify.com/track/4xqrdfXkTW4T0RauPLv3WA
36,"For The Night (feat. Lil Baby & DaBaby)","Pop Smoke",https://open.spotify.com/track/0PvFJmanyNQMseIFrU708S
37,"Cookie Chips","Rejjie Snow",https://open.spotify.com/track/4rnj9LIIotxPIe9qih7tjb
38,"Got It On Me","Pop Smoke",https://open.spotify.com/track/25zlnOAzbVoOzIeXSvQFf1
39,"Politics & Violence","Dominic Fike",https://open.spotify.com/track/4keHa1UN3c9OWHVv3BE5ra
40,"KEYS TO THE KINGDOM","Tiwa Savage",https://open.spotify.com/track/3KZK9MF3bAixN5UWOHVTbf
41,"Lost In The Wild","WALK THE MOON",https://open.spotify.com/track/0M1A9wInEHilyWkh4I8tWo
42,"Be Happy",Dixie,https://open.spotify.com/track/1KVQBPyORdhfITlixROtvC
43,"money machine","100 gecs",https://open.spotify.com/track/61bwFjzXGG1x2aZsANdLyl
44,"The Woo (feat. 50 Cent & Roddy Ricch)","Pop Smoke",https://open.spotify.com/track/1H7KnK26kc1YyellpbINEn
45,"Tap In",Saweetie,https://open.spotify.com/track/4Hpib09wXgD84w4uwTPnYD
46,"Hey Lover!",Wabie,https://open.spotify.com/track/7rC3P7tpWriaC4hYWKwGQd
47,"Chicken Tenders","Dominic Fike",https://open.spotify.com/track/4sYbZjRCyaFqCtJ2Uvfh8B
48,"Rags2Riches (feat. ATR Son Son)","Rod Wave",https://open.spotify.com/track/1ENdcyhqdylaLsPVgB83qq
49,"Mr Loverman","Ricky Montgomery",https://open.spotify.com/track/594dAKfWYKj53Usd6DTbUs
50,"Who You Are To Me (feat. Lady A)","Chris Tomlin",https://open.spotify.com/track/1L4MQJhKyrw0XiF0n0C2hL
