Position,"Track Name",Artist,URL
1,"Backyard Boy","Claire Rosinkranz",https://open.spotify.com/track/0y9fkzOaaQy4Up22BGUbIp
2,DDLG,ppcocaine,https://open.spotify.com/track/42dtq3bqOCzD0L2kITk4Dp
3,F2020,"Avenue Beat",https://open.spotify.com/track/3HZuxQ80VWOsBWws8XQdFB
4,"Such a Whore (Stellular Remix)",JVLA,https://open.spotify.com/track/6A25J9As7towpxovYryAWr
5,"In This Shirt","The Irrepressibles",https://open.spotify.com/track/60mItLdFl6xkYc1sAjlZlf
6,"NEVER MET!",CMTEN,https://open.spotify.com/track/7nJWotqUUPhVaCAOov6qGp
7,Overwhelmed,"Royal & the Serpent",https://open.spotify.com/track/5jjZikDrEd0by1o7V3fO4y
8,Ashes,Stellar,https://open.spotify.com/track/2NeyJbL3ROKCjRkAjs77ya
9,"Then Leave (feat. Queendom Come)",BeatKing,https://open.spotify.com/track/2Xoc4gqPbBa3QHKpBLJ5l8
10,Hatchback,Cochise,https://open.spotify.com/track/12hVQgYR254ZziANtiKVWQ
11,"Head & Heart (feat. MNEK)","Joel Corry",https://open.spotify.com/track/6cx06DFPPHchuUAcTxznu9
12,"Heat Waves","Glass Animals",https://open.spotify.com/track/6CDzDgIUqeDY5g8ujExx2f
13,"Stuck in the Middle","Tai Verdes",https://open.spotify.com/track/2HQPOVBAOU2EBTy1nBGRiW
14,"Savage Love (Laxed - Siren Beat)","Jawsh 685",https://open.spotify.com/track/1xQ6trAsedVPCdbtDAmk0c
15,"WHATS POPPIN (feat. DaBaby, Tory Lanez & Lil Wayne) - Remix","Jack Harlow",https://open.spotify.com/track/2MbdDtCv5LUVjYy9RuGTgC
16,Phantom,"Allen Mock",https://open.spotify.com/track/7hX7eKN0PglaprxYdmD6rn
17,"Stunnin' (feat. Harm Franklin)","Curtis Waters",https://open.spotify.com/track/2D0dj3hVkRQJCp63cxCPEx
18,Monster,"Red Velvet - IRENE & SEULGI",https://open.spotify.com/track/6c1QaQHdDhtFMfUkhueuXK
19,"Be Happy",Dixie,https://open.spotify.com/track/0egBBvt6cfROuCHP5nBABx
20,"Mood Swings (feat. Lil Tjay)","Pop Smoke",https://open.spotify.com/track/5rZlwNFl01HqLWBQGryKSm
21,"Free Joe Exotic","Bfb Da Packman",https://open.spotify.com/track/3uzrG1ZgnMeATFf2KgAV6I
22,"Eyes Blue Like The Atlantic (feat. Subvrbs)","Sista Prod",https://open.spotify.com/track/0qUcpOOna3kkrwfqky85e1
23,"The Woo (feat. 50 Cent & Roddy Ricch)","Pop Smoke",https://open.spotify.com/track/1H7KnK26kc1YyellpbINEn
24,"For The Night (feat. Lil Baby & DaBaby)","Pop Smoke",https://open.spotify.com/track/0PvFJmanyNQMseIFrU708S
25,"Rags2Riches (feat. ATR Son Son)","Rod Wave",https://open.spotify.com/track/1ENdcyhqdylaLsPVgB83qq
26,Maria,"Hwa Sa",https://open.spotify.com/track/2kqnQCChvRpDRAasIwc4Rh
27,24,"Money Man",https://open.spotify.com/track/2FVMbLuIxo0dz3KLXgN6Jh
28,"GO (feat. Juice WRLD)","The Kid LAROI",https://open.spotify.com/track/2rPHUAeUPbNgTmK18FPTiZ
29,"Got It On Me","Pop Smoke",https://open.spotify.com/track/25zlnOAzbVoOzIeXSvQFf1
30,"money machine","100 gecs",https://open.spotify.com/track/61bwFjzXGG1x2aZsANdLyl
31,"Djadja (feat. Maluma) - Remix","Aya Nakamura",https://open.spotify.com/track/6AzKhCHOms83jvNVLsz0Bt
32,Young,Vacations,https://open.spotify.com/track/0cjclnXBEihsvHLuqJzpJr
33,"Tap In",Saweetie,https://open.spotify.com/track/4Hpib09wXgD84w4uwTPnYD
34,"Ego Death (feat. Kanye West, FKA twigs & Skrillex)","Ty Dolla $ign",https://open.spotify.com/track/4JB0EAT4BkLShTyTt50FmO
35,"Like That Bitch","Flo Milli",https://open.spotify.com/track/7zoZd2MuTaQEdF1rlq6Vv1
36,"Save Me","Jelly Roll",https://open.spotify.com/track/5ShenzydHxkHm8w6vdJxMT
37,Heather,"Conan Gray",https://open.spotify.com/track/4xqrdfXkTW4T0RauPLv3WA
38,"Something Special","Pop Smoke",https://open.spotify.com/track/5kkaSMcf4BFlhRRICCKZb6
39,"Life's A Mess (feat. Halsey)","Juice WRLD",https://open.spotify.com/track/4h5N4KyWZMtpeH9vhXSXjd
40,"Husavik (My Hometown)","Will Ferrell",https://open.spotify.com/track/6ofMKJjMpfDEb48JYEAgjX
41,Promises,"Maverick City Music",https://open.spotify.com/track/0aZFEiDKLK2B4gzPaGCZVm
42,"Hey Lover!",Wabie,https://open.spotify.com/track/7rC3P7tpWriaC4hYWKwGQd
43,"I See Red","Everybody Loves an Outlaw",https://open.spotify.com/track/5MAK1nd8R6PWnle1Q1WJvh
44,SUPERBLOOM,MisterWives,https://open.spotify.com/track/2HvtedoEeymVWrBPyAMNwZ
45,Mariposa,"Peach Tree Rascals",https://open.spotify.com/track/4ja2gzrNh9VNigzoXfmbwD
46,"Hood Baby",KBFR,https://open.spotify.com/track/5au5NgWCdev4WeLRB3YEOR
47,"Go Crazy","Chris Brown",https://open.spotify.com/track/1IIKrJVP1C9N7iPtG6eOsK
48,VICES,Mothica,https://open.spotify.com/track/2cYynEijt5LiNLJkWK1njz
49,"Girls in the Hood","Megan Thee Stallion",https://open.spotify.com/track/6WbTTAGKrQtCQvmc5BuYfh
50,"PORFA Remix ( Feat. Maluma, Nicky Jam, Sech) - Remix",Feid,https://open.spotify.com/track/7lUdbnz7wsv3C9zzf4WHl9
