Position,"Track Name",Artist,URL
1,"I See Red","Everybody Loves an Outlaw",https://open.spotify.com/track/2Xau3uNsnIb9FwzsvHR84z
2,"Stunnin' (feat. Harm Franklin)","Curtis Waters",https://open.spotify.com/track/2D0dj3hVkRQJCp63cxCPEx
3,"Then Leave (feat. Queendom Come)",BeatKing,https://open.spotify.com/track/2Xoc4gqPbBa3QHKpBLJ5l8
4,"Hard For Me","Michele Morrone",https://open.spotify.com/track/00PesUdTmC3Y5xtZbZND0p
5,"Hood Baby",KBFR,https://open.spotify.com/track/5au5NgWCdev4WeLRB3YEOR
6,Control,"Zoe Wees",https://open.spotify.com/track/50Td3qilgs8BLtv8mHyT1t
7,"Do It","Chloe x Halle",https://open.spotify.com/track/35Dh5MnCUPLN3XyAVtQff3
8,Hatchback,Cochise,https://open.spotify.com/track/12hVQgYR254ZziANtiKVWQ
9,"Como Llora",Juanfran,https://open.spotify.com/track/52zq2a71SGs3f1vJuv59ui
10,"SAD - Imanbek xxx Remix",Rasster,https://open.spotify.com/track/4x5ymi4akay9Fq5Xm1PW3E
11,"Banana (feat. Shaggy) - DJ FLe - Minisiren Remix",Conkarah,https://open.spotify.com/track/0dZpw3h6KZhcHec61qwevZ
12,Body,"Jordan Suaste",https://open.spotify.com/track/6wQgV6ZYt1snXyQV69mGT4
13,"Both Of Us - Edit","Jayda G",https://open.spotify.com/track/75rGONmoi48LLYBFaGiYsv
14,"Rover (feat. DTG)",S1mba,https://open.spotify.com/track/4slSrbTK1sNK4I1mDYEthf
15,"Party Girl",StaySolidRocky,https://open.spotify.com/track/5RqR4ZCCKJDcBLIn4sih9l
16,"Prospect (ft. Lil Baby)","iann dior",https://open.spotify.com/track/4iHSE5R1U8jf84tRn52xRt
17,"Angels & Demons",jxdn,https://open.spotify.com/track/4GUj9MfPPkjpZskxb45uiX
18,Kolors,"Monte Booker",https://open.spotify.com/track/4IOYk6epkzXT38U4ShauZ6
19,"Figure It Out","Blu DeTiger",https://open.spotify.com/track/5G5qyRHlLmZgy915TBTCkB
20,"Fishy on Me","Dr. Sus",https://open.spotify.com/track/1k6GEdfONk9Fs6JgrC8aBN
21,Mariposa,"Peach Tree Rascals",https://open.spotify.com/track/4ja2gzrNh9VNigzoXfmbwD
22,HAHA,"Lil Darkie",https://open.spotify.com/track/18Gcl5bxdd8bpBhWOj1rCR
23,"Roses Remix (feat. Future)","SAINt JHN",https://open.spotify.com/track/1KyZ4rUiW2lkqGNLQYKpcC
24,"Судно (Борис Рижий)","Molchat Doma",https://open.spotify.com/track/6DONTnamNDOJdO6DzCu71p
25,"Think About Things","Daði Freyr",https://open.spotify.com/track/2iRniYXjMHKmwXqA2jYXP7
26,"We Paid (feat. 42 Dugg)","Lil Baby",https://open.spotify.com/track/6gxKUmycQX7uyMwJcweFjp
27,"TKN (feat. Travis Scott)",ROSALÍA,https://open.spotify.com/track/4w47S36wQGBhGg073q3nt7
28,"Deep End Freestyle","Sleepy Hallow",https://open.spotify.com/track/2AlYncTpVHKwHb55F9lF6O
29,"Some Say - Felix Jaehn Remix",Nea,https://open.spotify.com/track/7C1trmcQQ5n5RNy4l6ziCv
30,"ily (i love you baby) (feat. Emilee)","Surf Mesa",https://open.spotify.com/track/62aP9fBQKYKxi7PDXwcUAS
31,"Single Saturday Night","Cole Swindell",https://open.spotify.com/track/1irAliF0T8sLIOPJp6n7rU
32,"DOLLAZ ON MY HEAD (feat. Young Thug)",Gunna,https://open.spotify.com/track/3nS9a01VvXHQriLqJYwRqG
33,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
34,"Fuego Del Calor (feat. Ozuna & Tyga)","Scott Storch",https://open.spotify.com/track/2ZSHH750nQpUVHjoe3iu2U
35,"Dance with Me (feat. Thomas Rhett & Young Thug)",Diplo,https://open.spotify.com/track/6wXgnhpmOPEJ7cUweSyy2B
36,"...And To Those I Love, Thanks For Sticking Around",$uicideboy$,https://open.spotify.com/track/41LhQUkElADQ5YUbpYv2D0
37,Secrets,Regard,https://open.spotify.com/track/66W1rVTnEv86dIkFhoiElg
38,"Go Crazy","Chris Brown",https://open.spotify.com/track/1IIKrJVP1C9N7iPtG6eOsK
39,Candy,BAEKHYUN,https://open.spotify.com/track/6kKC35sKUh2FUx4M0qAL44
40,"Roses - Imanbek Remix","SAINt JHN",https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
41,"Con Tus Besos","Eslabon Armado",https://open.spotify.com/track/6WYB1odDfMPVMyp1QxFInT
42,Tú,"Carin Leon",https://open.spotify.com/track/1nLs8r6K4YN0avBwUmmTnr
43,Replay,Iyaz,https://open.spotify.com/track/4E5P1XyAFtrjpiIxkydly4
44,"hey girl","boy pablo",https://open.spotify.com/track/2rVAtdA3LWr18RAVGXZNkw
45,"Rain On Me (with Ariana Grande)","Lady Gaga",https://open.spotify.com/track/7ju97lgwC2rKQ6wwsf9no9
46,ICU,"Phoebe Bridgers",https://open.spotify.com/track/38KCyQcBswyAd7xSQnDIU4
47,21,"Polo G",https://open.spotify.com/track/3JKgcAa7r07ocVWcV8bS0H
48,"T.D (Lil Yachty & Tierra Whack feat. A$AP Rocky & Tyler, The Creator)","Lil Yachty",https://open.spotify.com/track/0gO3E51A3fqp0ypJ26QbVP
49,"Song About You","Sam Grow",https://open.spotify.com/track/5gRsliQqZLc4tv688SE3wB
50,"Laxed – Siren Beat","Jawsh 685",https://open.spotify.com/track/3BJiF37kmX4HCfYSO7qBnQ
